,X,Accn,Super.Group,Organism_Taxonomic_ID,Organism.Name,SIN1,RICTOR,RAPTOR,TOR,LST8,D1,M.Strategy,C.score,Frag.score,Class.name,Phylum.name,Order.name,Family.name,Genus.name,Source,Has_Rictor
132,132,GCA_000300495.1,Discoba,85056,Trypanosoma cruzi marinkellei,NA,H,H,H,M,NA,Parasite,98.46,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
133,133,GCA_000442575.2,Discoba,59799,Angomonas deanei,NA,M,H,H,M,NA,Parasite,79.23,16.92,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Angomonas,NCBI,Yes
134,134,GCA_000492115.1,Discoba,429131,Trypanosoma rangeli SC58,NA,H,H,H,NA,NA,Parasite,94.62,3.85,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
135,135,GCA_000496795.1,Discoba,1416333,Trypanosoma cruzi Dm28c,NA,H,H,H,M,NA,Parasite,90.77,8.46,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
136,136,GCA_000582765.1,Discoba,479712,Phytomonas sp. EM1,NA,H,H,H,M,NA,Parasite,90,9.23,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Phytomonas,NCBI,Yes
137,137,GCA_000691245.1,Discoba,71804,Trypanosoma grayi,NA,H,H,H,M,NA,Parasite,95.38,3.85,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
138,138,GCA_000755165.1,Discoba,5679,Leishmania panamensis,NA,H,H,H,H,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
139,139,GCA_000982615.1,Discoba,223615,Phytomonas sp. Hart1,NA,L,H,H,M,NA,Parasite,80,19.23,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Phytomonas,NCBI,Yes
140,140,GCA_001293395.1,Discoba,157538,Leptomonas pyrrhocoris,NA,H,H,H,M,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leptomonas,NCBI,Yes
141,141,GCA_001299535.1,Discoba,5684,Leptomonas seymouri,NA,H,H,H,M,NA,Parasite,99.23,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leptomonas,NCBI,Yes
142,142,GCA_001457755.2,Discoba,5694,Trypanosoma equiperdum,NA,H,H,H,H,NA,Parasite,94.62,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
143,143,GCA_001460835.1,Discoba,75058,Bodo saltans,NA,H,H,H,M,NA,Heterotroph,89.23,8.46,Kinetoplastea,Euglenozoa,Eubodonida,Bodonidae,Bodo,NCBI,Yes
144,144,GCA_002087225.1,Discoba,67003,Trypanosoma theileri,NA,H,H,H,M,NA,Parasite,99.23,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
145,145,GCA_002219105.2,Discoba,85057,Trypanosoma cruzi cruzi,NA,H,H,H,M,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
146,146,GCA_003324165.2,Discoba,51637,Naegleria lovaniensis,NA,H,H,H,H,NA,Heterotroph,86.27,4.71,NA,Heterolobosea,NA,Vahlkampfiidae,Naegleria,NCBI,Yes
147,147,GCA_003543875.1,Discoba,630700,Trypanosoma brucei equiperdum,NA,H,NA,H,H,NA,Parasite,76.15,4.62,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
148,148,GCA_003719475.1,Discoba,5698,Trypanosoma rangeli,NA,H,H,H,M,NA,Parasite,96.15,3.85,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
149,149,GCA_003719485.1,Discoba,83891,Trypanosoma conorhini,NA,H,H,H,M,NA,Parasite,97.69,1.54,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
150,150,GCA_008403515.1,Discoba,5763,Naegleria fowleri,NA,H,H,H,L,NA,Heterotroph,85.88,3.14,NA,Heterolobosea,NA,Vahlkampfiidae,Naegleria,NCBI,Yes
151,151,GCA_009731335.1,Discoba,5689,Leishmania tarentolae,NA,H,H,H,H,NA,Parasite,98.46,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
152,152,GCA_017916305.1,Discoba,5663,Leishmania enriettii,NA,H,H,H,H,NA,Parasite,98.46,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
153,153,GCA_017916325.1,Discoba,1580590,Leishmania martiniquensis,NA,H,H,H,H,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
154,154,GCA_017916335.1,Discoba,2249476,Leishmania orientalis,NA,H,H,H,H,NA,Parasite,99.23,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
155,155,GCA_017918215.1,Discoba,2803181,Leishmania sp. Ghana 2012 LV757,NA,H,H,H,H,NA,Parasite,96.92,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
156,156,GCA_017918225.1,Discoba,2802991,Leishmania sp. Namibia,NA,H,H,H,H,NA,Parasite,99.23,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
157,157,GCA_017918235.1,Discoba,2761500,Porcisia hertigi,NA,H,H,H,M,NA,Parasite,98.46,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Porcisia,NCBI,Yes
158,158,GCA_019425475.1,Discoba,5699,Trypanosoma vivax,NA,H,H,H,M,NA,Parasite,91.54,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
159,159,GCA_022059095.1,Discoba,715481,Trypanosoma melophagium,NA,H,H,H,M,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Trypanosoma,NCBI,Yes
160,160,GCA_024505685.1,Discoba,5660,Leishmania braziliensis,NA,H,H,H,H,NA,Parasite,93.08,2.31,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
161,161,GCA_026419775.2,Discoba,1008807,Acrasis kona,NA,H,H,H,H,NA,Heterotroph,85.49,6.67,NA,Heterolobosea,NA,Acrasidae,Acrasis,NCBI,Yes
162,162,GCA_030068145.1,Discoba,91374,Diplonema papillatum,NA,H,H,H,H,NA,Heterotroph,39.23,9.23,Diplonemea,Euglenozoa,NA,Diplonemidae,Diplonema,NCBI,Yes
163,163,GCA_040363505.1,Discoba,653362,Leishmania utingensis,NA,H,H,H,H,NA,Parasite,97.69,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
164,164,GCA_040363515.1,Discoba,5680,Leishmania shawi,NA,H,H,H,H,NA,Parasite,96.92,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
165,165,GCA_040363635.1,Discoba,5678,Leishmania naiffi,NA,H,H,H,H,NA,Parasite,95.38,1.54,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
166,166,GCA_040363675.1,Discoba,651832,Leishmania lindenbergi,NA,H,H,H,H,NA,Parasite,96.15,0.77,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
167,167,GCA_900500625.2,Discoba,5671,Leishmania infantum,NA,H,H,H,H,NA,Parasite,100,0,Kinetoplastea,Euglenozoa,Trypanosomatida,Trypanosomatidae,Leishmania,NCBI,Yes
168,168,GCA_001247695.2,Chlorophyta,36881,Cymbomonas tetramitiformis,L,H,H,H,H,NA,Mixotroph,83.54,5.33,Pyramimonadophyceae,Chlorophyta,Pyramimonadales,Pyramimonadaceae,Cymbomonas,NCBI,Yes
169,169,GCA_007859695.1,Chlorophyta,1764295,Chloropicon primus,NA,M,H,H,H,NA,Autotrophic,91.44,0.46,Chloropicophyceae,Chlorophyta,Chloropicales,Chloropicaceae,Chloropicon,NCBI,Yes
170,170,GCA_038396805.1,Chlorophyta,1461544,Chloropicon roscoffensis,NA,M,H,H,H,NA,Autotrophic,91.24,0.33,Chloropicophyceae,Chlorophyta,Chloropicales,Chloropicaceae,Chloropicon,NCBI,Yes
171,171,GCA_000512085.1,Rhizaria,46433,Reticulomyxa filosa,NA,M,L,M,L,NA,Heterotroph,36.86,27.84,NA,Foraminifera,NA,Reticulomyxidae,Reticulomyxa,NCBI,Yes
172,172,GCA_001049375.1,Rhizaria,37360,Plasmodiophora brassicae,NA,H,H,M,L,NA,Heterotroph,88.63,3.92,Phytomyxea,Endomyxa,Plasmodiophorida,Plasmodiophoridae,Plasmodiophora,NCBI,Yes
173,173,GCA_040357525.1,Rhizaria,126728,Bonamia ostreae,NA,L,NA,L,L,NA,Parasite,25.88,18.82,Ascetosporea,Endomyxa,Haplosporida,NA,Bonamia,NCBI,Yes
174,174,Bigna1,Rhizaria,753081,Bigelowiella natans CCMP2755,NA,H,H,H,H,NA,Mixotroph,72.9,12.2,Chlorarachniophyceae,Cercozoa,NA,NA,Bigelowiella,JGI,Yes
175,1,GCA_000002415.2,Alveolata,5855,Plasmodium vivax,NA,NA,NA,NA,NA,NA,Parasite,95.25,1.1,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
176,2,GCA_000002765.3,Alveolata,36329,Plasmodium falciparum 3D7,NA,NA,NA,NA,NA,NA,Parasite,99.12,0,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
177,3,GCA_000003085.2,Alveolata,73239,Plasmodium yoelii yoelii,NA,NA,NA,NA,NA,NA,Parasite,64.91,10.38,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
178,4,GCA_000003225.1,Alveolata,5874,Theileria annulata,NA,NA,NA,M,NA,NA,Parasite,93.74,2.47,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,No
179,5,GCA_000006355.3,Alveolata,5851,Plasmodium knowlesi strain H,NA,NA,NA,NA,NA,NA,Parasite,99.18,0.05,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
180,6,GCA_000006515.1,Alveolata,441375,Cryptosporidium muris RN66,NA,NA,NA,H,NA,NA,Parasite,99.2,0.4,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
181,7,GCA_000006565.2,Alveolata,508771,Toxoplasma gondii ME49,NA,NA,NA,H,L,NA,Parasite,100,0,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
182,8,GCA_000149665.2,Alveolata,137071,Plasmodium falciparum HB3,NA,NA,NA,NA,NA,NA,Parasite,85.78,4.06,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
183,9,GCA_000149715.2,Alveolata,507601,Toxoplasma gondii GT1,NA,NA,NA,H,L,NA,Parasite,100,0,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
184,10,GCA_000149795.1,Alveolata,57267,Plasmodium falciparum Dd2,NA,NA,NA,NA,NA,NA,Parasite,51.37,6.64,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
185,11,GCA_000150015.2,Alveolata,432359,Toxoplasma gondii VEG,NA,NA,NA,H,L,NA,Parasite,99.4,0.6,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
186,12,GCA_000150435.3,Alveolata,57266,Plasmodium falciparum 7G8,NA,NA,NA,NA,NA,NA,Parasite,89.95,4.37,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
187,13,GCA_000165345.1,Alveolata,353152,Cryptosporidium parvum Iowa II,NA,NA,NA,H,NA,NA,Parasite,96.61,1.99,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
188,14,GCA_000165365.1,Alveolata,333668,Theileria parva strain Muguga,NA,NA,NA,M,NA,NA,Parasite,98.06,0.62,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,No
189,15,GCA_000165395.2,Alveolata,484906,Babesia bovis T2Bo,NA,NA,NA,H,NA,NA,Parasite,98.41,0.09,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,No
190,16,GCA_000186025.2,Alveolata,580058,Plasmodium falciparum RAJ116,NA,NA,NA,NA,NA,NA,Parasite,24.6,19.71,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
191,17,GCA_000186055.2,Alveolata,580059,Plasmodium falciparum IGH-CR14,NA,NA,NA,NA,NA,NA,Parasite,74.79,4.61,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
192,18,GCA_000208865.2,Alveolata,572307,Neospora caninum Liverpool,NA,NA,NA,H,L,NA,Parasite,98.21,0.8,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Neospora,NCBI,No
193,19,GCA_000209695.1,Alveolata,5807,Cryptosporidium parvum,NA,NA,NA,H,NA,NA,Parasite,14.34,0.4,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
194,20,GCA_000223845.4,Alveolata,110365,Gregarina niphandrodes,NA,NA,NA,H,NA,NA,Parasite,65.74,3.39,Conoidasida,Apicomplexa,Eugregarinorida,Gregarinidae,Gregarina,NCBI,No
195,21,GCA_000224805.2,Alveolata,935652,Toxoplasma gondii RUB,NA,NA,NA,H,L,NA,Parasite,89.64,8.57,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
196,22,GCA_000224845.2,Alveolata,933077,Toxoplasma gondii VAND,NA,NA,NA,H,L,NA,Parasite,93.23,5.18,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
197,23,GCA_000224865.2,Alveolata,943118,Toxoplasma gondii MAS,NA,NA,NA,H,L,NA,Parasite,89.84,6.77,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
198,24,GCA_000224885.2,Alveolata,943119,Toxoplasma gondii p89,NA,NA,NA,H,L,NA,Parasite,91.04,6.37,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
199,25,GCA_000224905.2,Alveolata,943167,Toxoplasma gondii FOU,NA,NA,NA,H,L,NA,Parasite,88.25,7.97,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
200,26,GCA_000250965.2,Alveolata,1074872,Toxoplasma gondii ARI,NA,NA,NA,H,L,NA,Parasite,92.63,5.78,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
201,27,GCA_000256705.2,Alveolata,943122,Toxoplasma gondii CAST,NA,NA,NA,H,L,NA,Parasite,92.23,5.38,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
202,28,GCA_000256725.2,Alveolata,1130821,Toxoplasma gondii TgCatPRC2,NA,NA,NA,H,L,NA,Parasite,92.03,6.18,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
203,29,GCA_000258005.2,Alveolata,99158,Hammondia hammondi,NA,NA,NA,H,L,NA,Parasite,99.8,0.2,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Hammondia,NCBI,No
204,30,GCA_000320625.2,Alveolata,1077284,Plasmodium vivax India VII,NA,NA,NA,NA,NA,NA,Parasite,94.23,2.42,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
205,31,GCA_000320645.2,Alveolata,1033975,Plasmodium vivax Brazil I,NA,NA,NA,NA,NA,NA,Parasite,95.36,1.76,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
206,32,GCA_000320665.2,Alveolata,1035515,Plasmodium vivax Mauritania I,NA,NA,NA,NA,NA,NA,Parasite,95.28,1.59,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
207,33,GCA_000320685.2,Alveolata,1035514,Plasmodium vivax North Korean,NA,NA,NA,NA,NA,NA,Parasite,94.67,2.2,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
208,34,GCA_000321355.1,Alveolata,1120755,Plasmodium cynomolgi strain B,NA,NA,NA,NA,NA,NA,Parasite,80.62,10.24,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
209,35,GCA_000325525.2,Alveolata,1130820,Toxoplasma gondii GAB2-2007-GAL-DOM2,NA,NA,NA,H,L,NA,Parasite,93.23,5.18,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,No
210,36,GCA_000342415.1,Alveolata,1537102,Theileria equi strain WA,NA,NA,NA,H,NA,NA,Parasite,94.36,3.79,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,No
211,37,GCA_000401695.2,Alveolata,5843,Plasmodium falciparum NF54,NA,NA,NA,NA,NA,NA,Parasite,79.46,6.18,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
212,38,GCA_000401715.2,Alveolata,1237627,Plasmodium falciparum UGT5.1,NA,NA,NA,NA,NA,NA,Parasite,81.71,5.27,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
213,39,GCA_000499385.1,Alveolata,51315,Eimeria necatrix,NA,NA,NA,NA,NA,NA,Parasite,88.45,6.77,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
214,40,GCA_000499425.1,Alveolata,5801,Eimeria acervulina,NA,NA,NA,M,NA,NA,Parasite,89.44,7.57,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
215,41,GCA_000499445.1,Alveolata,51316,Eimeria praecox,NA,NA,NA,NA,NA,NA,Parasite,48.41,14.34,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
216,42,GCA_000499545.1,Alveolata,5802,Eimeria tenella,NA,NA,NA,M,L,NA,Parasite,89.24,7.57,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
217,43,GCA_000499605.1,Alveolata,5804,Eimeria maxima,NA,NA,NA,L,NA,NA,Parasite,77.49,10.96,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
218,44,GCA_000499725.1,Alveolata,51314,Eimeria brunetti,NA,NA,NA,M,L,NA,Parasite,76.29,9.96,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
219,45,GCA_000499745.2,Alveolata,44415,Eimeria mitis,NA,NA,NA,NA,NA,NA,Parasite,50.8,20.92,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,No
220,46,GCA_000505035.1,Alveolata,1323249,Plasmodium yoelii 17X,NA,NA,NA,NA,NA,NA,Parasite,96.02,1.43,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
221,47,GCA_000521015.1,Alveolata,1036723,Plasmodium falciparum Vietnam Oak-Knoll (FVO),NA,NA,NA,NA,NA,NA,Parasite,87.34,4.64,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
222,48,GCA_000521035.1,Alveolata,1036727,Plasmodium falciparum MaliPS096_E11,NA,NA,NA,NA,NA,NA,Parasite,83.28,5.96,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
223,49,GCA_000521055.1,Alveolata,1036725,Plasmodium falciparum Tanzania (2000708),NA,NA,NA,NA,NA,NA,Parasite,83.44,6.48,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
224,50,GCA_000521075.1,Alveolata,1036726,Plasmodium falciparum NF135/5.C10,NA,NA,NA,NA,NA,NA,Parasite,89.98,3.6,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
225,51,GCA_000521095.1,Alveolata,57270,Plasmodium falciparum Palo Alto/Uganda,NA,NA,NA,NA,NA,NA,Parasite,85.48,4.75,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
226,52,GCA_000521115.1,Alveolata,5835,Plasmodium falciparum CAMP/Malaysia,NA,NA,NA,NA,NA,NA,Parasite,90.25,3.73,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
227,53,GCA_000521155.1,Alveolata,1036724,Plasmodium falciparum FCH/4,NA,NA,NA,NA,NA,NA,Parasite,68.62,8.35,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
228,54,GCA_000524495.1,Alveolata,1237626,Plasmodium inui San Antonio 1,NA,NA,NA,NA,NA,NA,Parasite,96.51,1.78,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
229,55,GCA_000524515.1,Alveolata,138298,Plasmodium vinckei petteri,NA,NA,NA,NA,NA,NA,Parasite,96.87,1.21,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
230,56,GCA_000691945.2,Alveolata,1133968,Babesia microti strain RI,NA,NA,NA,M,NA,NA,Parasite,95.15,1.15,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,No
231,57,GCA_000709005.1,Alveolata,54757,Plasmodium vinckei vinckei,NA,NA,NA,NA,NA,NA,Parasite,97.12,1.15,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
232,58,GCA_000723685.1,Alveolata,5854,Plasmodium reichenowi,NA,NA,NA,NA,NA,NA,Parasite,98.98,0.11,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
233,59,GCA_000740895.1,Alveolata,869250,Theileria orientalis strain Shintoku,NA,NA,NA,M,NA,NA,Parasite,94.27,0.62,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,No
234,60,GCA_000769155.2,Alveolata,88456,Cyclospora cayetanensis,NA,NA,NA,M,NA,NA,Parasite,94.02,3.19,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Cyclospora,NCBI,No
235,61,GCA_000956335.1,Alveolata,5857,Plasmodium fragile,NA,NA,NA,NA,NA,NA,Parasite,96.79,1.24,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
236,62,GCA_000981445.1,Alveolata,5866,Babesia bigemina,NA,NA,NA,H,NA,NA,Parasite,97.53,0.53,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,No
237,63,GCA_001483515.1,Alveolata,237895,Cryptosporidium hominis,NA,NA,NA,H,NA,NA,Parasite,97.61,0.8,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
238,64,GCA_001593445.1,Alveolata,93969,Cryptosporidium meleagridis,NA,NA,NA,H,NA,NA,Parasite,98.61,0.4,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
239,65,GCA_001602025.1,Alveolata,647221,Plasmodium gaboni,NA,NA,NA,NA,NA,NA,Parasite,95.14,1.24,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
240,66,GCA_001865345.1,Alveolata,857276,Cryptosporidium ubiquitum,NA,NA,NA,H,NA,NA,Parasite,97.41,0.6,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
241,67,GCA_001865355.1,Alveolata,117008,Cryptosporidium andersoni,NA,NA,NA,H,NA,NA,Parasite,99.2,0.2,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
242,68,GCA_001939145.1,Alveolata,2951,Symbiodinium microadriaticum,NA,NA,NA,H,L,H,Parasite,78.95,10.53,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,No
243,69,GCA_002095265.1,Alveolata,462227,Babesia sp. Xinjiang,NA,NA,NA,H,NA,NA,Parasite,80.09,2.47,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,No
244,70,GCA_002140095.1,Alveolata,5850,Plasmodium knowlesi,NA,NA,NA,NA,NA,NA,Parasite,98.54,0.11,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
245,71,GCA_002157705.1,Alveolata,77519,Plasmodium gonderi,NA,NA,NA,NA,NA,NA,Parasite,99.12,0.03,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,No
246,72,GCA_002563875.1,Alveolata,94643,Besnoitia besnoiti,NA,NA,NA,H,L,NA,Parasite,99.8,0.2,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Besnoitia,NCBI,No
247,73,GCA_002600585.1,Alveolata,483139,Cystoisospora suis,NA,NA,NA,H,L,NA,Parasite,83.47,11.16,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Cystoisospora,NCBI,No
248,74,GCA_002897235.1,Alveolata,189622,Babesia ovata,NA,NA,NA,H,NA,NA,Parasite,83.7,5.9,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,No
249,75,GCA_003072535.4,Alveolata,68886,Theileria orientalis,NA,NA,NA,M,NA,NA,Parasite,95.59,1.5,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,No
250,76,GCA_004369235.1,Alveolata,2494336,Perkinsus sp. BL_2016,NA,NA,NA,NA,NA,NA,Parasite,9.94,2.92,NA,Perkinsozoa,Perkinsida,Perkinsidae,Perkinsus,NCBI,No
251,77,GCA_004936735.2,Alveolata,1280935,Cryptosporidium sp. chipmunk genotype I,NA,NA,NA,H,NA,NA,Parasite,97.61,1,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
252,78,GCA_007210665.1,Alveolata,756076,Cryptosporidium tyzzeri,NA,NA,NA,H,NA,NA,Parasite,98.01,0.6,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
253,79,GCA_009768925.2,Alveolata,310047,Cryptosporidium bovis,NA,NA,NA,H,NA,NA,Parasite,95.62,0.6,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,No
