"Accn"	"Super.Group"	"Organism_Taxonomic_ID"	"Organism.Name"	"SIN1"	"RICTOR"	"RAPTOR"	"TOR"	"LST8"	"C.score"	"Frag.score"	"Class.name"	"Phylum.name"	"Order.name"	"Family.name"	"Genus.name"	"Source"
"GCA_900240055.1"	"Alveolata"	720590	"Plasmodium sp. DRC-Itaito"	NA	NA	NA	NA	NA	98.79	0.05	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_902459845.2"	"Alveolata"	2600580	"Hepatocystis sp. ex Piliocolobus tephrosceles"	NA	NA	NA	NA	NA	90.22	3.08	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Hepatocystis"	"NCBI"
"GCA_903994205.1"	"Alveolata"	119398	"Plasmodium vinckei brucechwatti"	NA	NA	NA	NA	NA	97.25	0.88	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_903994225.1"	"Alveolata"	138297	"Plasmodium vinckei lentum"	NA	NA	NA	NA	NA	97.2	0.6	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_903994265.1"	"Alveolata"	5860	"Plasmodium vinckei"	NA	NA	NA	NA	NA	96.62	1.02	"Aconoidasida"	"Apicomplexa"	"Haemosporida"	"Plasmodiidae"	"Plasmodium"	"NCBI"
"GCA_905178155.1"	"Alveolata"	2202890	"Amoebophrya sp. A120"	NA	NA	NA	"M"	NA	95.32	0.58	"Dinophyceae"	NA	"Syndiniales"	"Amoebophryaceae"	"Amoebophrya"	"NCBI"
"GCA_905182985.1"	"Alveolata"	65129	"Paramecium sonneborni"	"M"	"H"	NA	"H"	"H"	98.83	0.58	"Oligohymenophorea"	"Ciliophora"	"Peniculida"	"Parameciidae"	"Paramecium"	"NCBI"
"GCA_905182995.1"	"Alveolata"	43137	"Paramecium octaurelia"	"M"	"H"	NA	"H"	"H"	96.49	1.75	"Oligohymenophorea"	"Ciliophora"	"Peniculida"	"Parameciidae"	"Paramecium"	"NCBI"
"GCA_905183005.1"	"Alveolata"	43138	"Paramecium pentaurelia"	"M"	"H"	NA	"H"	"H"	98.25	1.17	"Oligohymenophorea"	"Ciliophora"	"Peniculida"	"Parameciidae"	"Paramecium"	"NCBI"
"GCA_905221605.1"	"Alveolata"	878477	"Symbiodinium natans"	NA	NA	NA	"H"	"L"	69.59	12.28	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_905221615.1"	"Alveolata"	631055	"Symbiodinium sp. CCMP2592"	NA	NA	NA	"H"	"L"	75.44	11.11	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_905221625.1"	"Alveolata"	230985	"Symbiodinium sp. KB8"	NA	NA	NA	"H"	"H"	91.23	4.09	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_905221635.1"	"Alveolata"	1519616	"Symbiodinium sp. CCMP2456"	NA	NA	NA	"H"	NA	70.18	11.7	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_905231905.1"	"Alveolata"	2952	"Symbiodinium pilosum"	NA	NA	NA	NA	NA	54.97	13.45	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_905231915.1"	"Alveolata"	1628268	"Symbiodinium necroappetens"	NA	NA	NA	NA	"L"	63.16	15.79	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Symbiodinium"	"NCBI"
"GCA_905237085.1"	"Alveolata"	89957	"Polarella glacialis"	NA	"L"	"H"	"H"	"M"	69.59	16.37	"Dinophyceae"	NA	"Suessiales"	"Suessiaceae"	"Polarella"	"NCBI"
"GCA_914767885.1"	"Alveolata"	1481888	"Blepharisma stoltei"	NA	"H"	NA	"H"	"M"	95.91	2.92	"Heterotrichea"	"Ciliophora"	"Heterotrichida"	"Blepharismidae"	"Blepharisma"	"NCBI"
"GCA_946863485.1"	"Alveolata"	5936	"Moneuplotes crassus"	NA	NA	NA	"H"	"M"	91.81	1.17	"Spirotrichea"	"Ciliophora"	"Euplotida"	"Euplotidae"	"Moneuplotes"	"NCBI"
"GCA_947184155.2"	"Alveolata"	2562237	"Cladocopium goreaui"	NA	NA	NA	"H"	"L"	82.46	7.02	"Dinophyceae"	NA	"Suessiales"	"Symbiodiniaceae"	"Cladocopium"	"NCBI"
"GCA_000001735.2"	"Streptophyta"	3702	"Arabidopsis thaliana"	NA	NA	"H"	"H"	"H"	99.6	0.1	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Arabidopsis"	"NCBI"
"GCA_000002775.4"	"Streptophyta"	3694	"Populus trichocarpa"	NA	NA	"H"	"H"	"H"	99.3	0.2	"Magnoliopsida"	"Streptophyta"	"Malpighiales"	"Salicaceae"	"Populus"	"NCBI"
"GCA_000003195.3"	"Streptophyta"	4558	"Sorghum bicolor"	NA	NA	"H"	"H"	"H"	98.3	0.9	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Sorghum"	"NCBI"
"GCA_000003745.2"	"Streptophyta"	29760	"Vitis vinifera"	NA	NA	"H"	"H"	"H"	90.8	4.8	"Magnoliopsida"	"Streptophyta"	"Vitales"	"Vitaceae"	"Vitis"	"NCBI"
"GCA_000004075.3"	"Streptophyta"	3659	"Cucumis sativus"	NA	NA	"H"	"H"	"L"	95.3	2.6	"Magnoliopsida"	"Streptophyta"	"Cucurbitales"	"Cucurbitaceae"	"Cucumis"	"NCBI"
"GCA_000004255.1"	"Streptophyta"	81972	"Arabidopsis lyrata subsp. lyrata"	NA	NA	"H"	"H"	"H"	96.3	1.3	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Arabidopsis"	"NCBI"
"GCA_000004515.5"	"Streptophyta"	3847	"Glycine max"	NA	NA	"H"	"H"	"H"	99.4	0.4	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Glycine"	"NCBI"
"GCA_000004655.2"	"Streptophyta"	39946	"Oryza sativa Indica Group"	NA	NA	"H"	"H"	"H"	91.4	4.5	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Oryza"	"NCBI"
"GCA_000005005.6"	"Streptophyta"	4577	"Zea mays"	NA	NA	"H"	"H"	"H"	94.8	3.3	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Zea"	"NCBI"
"GCA_000005425.2"	"Streptophyta"	39947	"Oryza sativa Japonica Group"	NA	NA	"H"	"H"	"H"	73	9.9	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Oryza"	"NCBI"
"GCA_000005505.4"	"Streptophyta"	15368	"Brachypodium distachyon"	NA	NA	"H"	"H"	"H"	99.3	0.4	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Brachypodium"	"NCBI"
"GCA_000143415.2"	"Streptophyta"	88036	"Selaginella moellendorffii"	NA	NA	"H"	"H"	"H"	76.9	5.9	"Lycopodiopsida"	"Streptophyta"	"Selaginellales"	"Selaginellaceae"	"Selaginella"	"NCBI"
"GCA_000151685.2"	"Streptophyta"	3988	"Ricinus communis"	NA	NA	"H"	"H"	"H"	92	4.6	"Magnoliopsida"	"Streptophyta"	"Malpighiales"	"Euphorbiaceae"	"Ricinus"	"NCBI"
"GCA_000219495.2"	"Streptophyta"	3880	"Medicago truncatula"	NA	NA	"H"	"H"	"H"	96.8	0.8	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Medicago"	"NCBI"
"GCA_000263155.2"	"Streptophyta"	4555	"Setaria italica"	NA	NA	"H"	"H"	"H"	97.9	1.1	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Setaria"	"NCBI"
"GCA_000327365.2"	"Streptophyta"	29730	"Gossypium raimondii"	NA	NA	"H"	"H"	"H"	98.4	1.1	"Magnoliopsida"	"Streptophyta"	"Malvales"	"Malvaceae"	"Gossypium"	"NCBI"
"GCA_000331365.3"	"Streptophyta"	4639	"Ensete ventricosum"	NA	NA	"H"	"H"	"H"	21.6	22	"Magnoliopsida"	"Streptophyta"	"Zingiberales"	"Musaceae"	"Ensete"	"NCBI"
"GCA_000340665.2"	"Streptophyta"	3821	"Cajanus cajan"	NA	NA	"L"	"H"	"H"	89.9	5.5	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Cajanus"	"NCBI"
"GCA_000346465.2"	"Streptophyta"	3760	"Prunus persica"	NA	NA	"H"	"H"	"H"	99.3	0.2	"Magnoliopsida"	"Streptophyta"	"Rosales"	"Rosaceae"	"Prunus"	"NCBI"
"GCA_000375325.1"	"Streptophyta"	81985	"Capsella rubella"	NA	NA	"H"	"H"	"H"	95.7	2.2	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Capsella"	"NCBI"
"GCA_000403535.1"	"Streptophyta"	3641	"Theobroma cacao"	NA	NA	"H"	"H"	"H"	99.4	0.2	"Magnoliopsida"	"Streptophyta"	"Malvales"	"Malvaceae"	"Theobroma"	"NCBI"
"GCA_000441915.1"	"Streptophyta"	192259	"Genlisea aurea"	NA	NA	"H"	"H"	"H"	70.5	16.2	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Lentibulariaceae"	"Genlisea"	"NCBI"
"GCA_000471905.1"	"Streptophyta"	13333	"Amborella trichopoda"	NA	NA	"H"	"H"	"H"	89.9	5.4	"Magnoliopsida"	"Streptophyta"	"Amborellales"	"Amborellaceae"	"Amborella"	"NCBI"
"GCA_000478725.1"	"Streptophyta"	72664	"Eutrema salsugineum"	NA	NA	"H"	"H"	"H"	98.2	0.9	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Eutrema"	"NCBI"
"GCA_000493195.1"	"Streptophyta"	85681	"Citrus x clementina"	NA	NA	"H"	"H"	"H"	93.6	4.7	"Magnoliopsida"	"Streptophyta"	"Sapindales"	"Rutaceae"	"Citrus"	"NCBI"
"GCA_000499845.2"	"Streptophyta"	3885	"Phaseolus vulgaris"	NA	NA	"H"	"H"	"H"	98	1.4	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Phaseolus"	"NCBI"
"GCA_000504015.1"	"Streptophyta"	4155	"Erythranthe guttata"	NA	NA	"H"	"H"	"H"	91.3	5.1	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Phrymaceae"	"Erythranthe"	"NCBI"
"GCA_000510995.2"	"Streptophyta"	3562	"Spinacia oleracea"	NA	NA	"H"	"H"	"H"	94.1	4	"Magnoliopsida"	"Streptophyta"	"Caryophyllales"	"Chenopodiaceae"	"Spinacia"	"NCBI"
"GCA_000511025.2"	"Streptophyta"	3555	"Beta vulgaris subsp. vulgaris"	NA	NA	"H"	"H"	"H"	97.3	1.4	"Magnoliopsida"	"Streptophyta"	"Caryophyllales"	"Chenopodiaceae"	"Beta"	"NCBI"
"GCA_000512255.2"	"Streptophyta"	4072	"Capsicum annuum"	NA	NA	"H"	"H"	"H"	86.5	5.7	"Magnoliopsida"	"Streptophyta"	"Solanales"	"Solanaceae"	"Capsicum"	"NCBI"
"GCA_000583005.2"	"Streptophyta"	57577	"Trifolium pratense"	NA	NA	"H"	"H"	"H"	63.7	31.5	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Trifolium"	"NCBI"
"GCA_000612305.2"	"Streptophyta"	71139	"Eucalyptus grandis"	NA	NA	"H"	"H"	"H"	93.9	3.4	"Magnoliopsida"	"Streptophyta"	"Myrtales"	"Myrtaceae"	"Eucalyptus"	"NCBI"
"GCA_000695605.1"	"Streptophyta"	2711	"Citrus sinensis"	NA	NA	"H"	"H"	"H"	78.6	14.6	"Magnoliopsida"	"Streptophyta"	"Sapindales"	"Rutaceae"	"Citrus"	"NCBI"
"GCA_000696525.1"	"Streptophyta"	180498	"Jatropha curcas"	NA	NA	"H"	"H"	"H"	91.8	4.5	"Magnoliopsida"	"Streptophyta"	"Malpighiales"	"Euphorbiaceae"	"Jatropha"	"NCBI"
"GCA_000708835.1"	"Streptophyta"	105231	"Klebsormidium nitens"	NA	NA	"H"	"H"	"H"	69.3	4.3	"Klebsormidiophyceae"	"Streptophyta"	"Klebsormidiales"	"Klebsormidiaceae"	"Klebsormidium"	"NCBI"
"GCA_000722935.2"	"Streptophyta"	3848	"Glycine soja"	NA	NA	"H"	"H"	"H"	90.3	4.6	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Glycine"	"NCBI"
"GCA_000733195.1"	"Streptophyta"	50452	"Arabis alpina"	NA	NA	"H"	"H"	"H"	79.7	1.4	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Arabis"	"NCBI"
"GCA_000751015.1"	"Streptophyta"	3708	"Brassica napus"	NA	NA	"H"	"H"	"H"	79.6	1.9	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Brassica"	"NCBI"
"GCA_000763605.2"	"Streptophyta"	60419	"Castanea mollissima"	NA	NA	"H"	"H"	"H"	93.2	5.3	"Magnoliopsida"	"Streptophyta"	"Fagales"	"Fagaceae"	"Castanea"	"NCBI"
"GCA_000787975.1"	"Streptophyta"	29729	"Gossypium arboreum"	NA	NA	"H"	"H"	"H"	71.5	4.4	"Magnoliopsida"	"Streptophyta"	"Malvales"	"Malvaceae"	"Gossypium"	"NCBI"
"GCA_000801105.3"	"Streptophyta"	3726	"Raphanus sativus"	NA	NA	"H"	"H"	"H"	97.8	0.8	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Raphanus"	"NCBI"
"GCA_001185155.1"	"Streptophyta"	29655	"Zostera marina"	NA	NA	"H"	"H"	"H"	91.4	4.5	"Magnoliopsida"	"Streptophyta"	"Alismatales"	"Zosteraceae"	"Zostera"	"NCBI"
"GCA_001190045.1"	"Streptophyta"	3914	"Vigna angularis"	NA	NA	"H"	"H"	"H"	83.9	7.9	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Vigna"	"NCBI"
"GCA_001411555.2"	"Streptophyta"	51240	"Juglans regia"	NA	NA	"H"	"H"	"H"	96.1	1.4	"Magnoliopsida"	"Streptophyta"	"Fagales"	"Juglandaceae"	"Juglans"	"NCBI"
"GCA_001531365.2"	"Streptophyta"	59895	"Cynara cardunculus var. scolymus"	NA	NA	"H"	"H"	"M"	86.7	7	"Magnoliopsida"	"Streptophyta"	"Asterales"	"Asteraceae"	"Cynara"	"NCBI"
"GCA_001598015.1"	"Streptophyta"	472368	"Dorcoceras hygrometricum"	NA	NA	"H"	"H"	"H"	77.9	5.5	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Gesneriaceae"	"Dorcoceras"	"NCBI"
"GCA_001605985.2"	"Streptophyta"	906689	"Dendrobium catenatum"	NA	NA	"H"	"H"	"H"	75.6	11.2	"Magnoliopsida"	"Streptophyta"	"Asparagales"	"Orchidaceae"	"Dendrobium"	"NCBI"
"GCA_001625215.2"	"Streptophyta"	79200	"Daucus carota subsp. sativus"	NA	NA	"H"	"H"	"H"	99.1	0.4	"Magnoliopsida"	"Streptophyta"	"Apiales"	"Apiaceae"	"Daucus"	"NCBI"
"GCA_001641455.1"	"Streptophyta"	1480154	"Marchantia polymorpha subsp. ruderalis"	NA	NA	"H"	"H"	"H"	80.3	4.5	"Marchantiopsida"	"Streptophyta"	"Marchantiales"	"Marchantiaceae"	"Marchantia"	"NCBI"
"GCA_001659605.2"	"Streptophyta"	3983	"Manihot esculenta"	NA	NA	"H"	"H"	"H"	99.6	0.3	"Magnoliopsida"	"Streptophyta"	"Malpighiales"	"Euphorbiaceae"	"Manihot"	"NCBI"
"GCA_001661175.1"	"Streptophyta"	4615	"Ananas comosus"	NA	NA	"H"	"H"	"H"	83	6.3	"Magnoliopsida"	"Streptophyta"	"Poales"	"Bromeliaceae"	"Ananas"	"NCBI"
"GCA_001692995.2"	"Streptophyta"	4182	"Sesamum indicum"	NA	NA	"H"	"H"	"H"	79.5	5.4	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Pedaliaceae"	"Sesamum"	"NCBI"
"GCA_001742945.1"	"Streptophyta"	3900	"Trifolium subterraneum"	NA	NA	"H"	"H"	"H"	78.2	12.8	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Trifolium"	"NCBI"
"GCA_001865875.1"	"Streptophyta"	3871	"Lupinus angustifolius"	NA	NA	"H"	"H"	"H"	92.7	3.7	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Lupinus"	"NCBI"
"GCA_001876935.1"	"Streptophyta"	4686	"Asparagus officinalis"	NA	NA	"H"	"H"	"H"	78.3	10.8	"Magnoliopsida"	"Streptophyta"	"Asparagales"	"Asparagaceae"	"Asparagus"	"NCBI"
"GCA_001879085.1"	"Streptophyta"	49451	"Nicotiana attenuata"	NA	NA	"H"	"H"	"H"	92.6	3.5	"Magnoliopsida"	"Streptophyta"	"Solanales"	"Solanaceae"	"Nicotiana"	"NCBI"
"GCA_001972305.1"	"Streptophyta"	3775	"Cephalotus follicularis"	NA	NA	"H"	"H"	"H"	96.7	1.3	"Magnoliopsida"	"Streptophyta"	"Oxalidales"	"Cephalotaceae"	"Cephalotus"	"NCBI"
"GCA_001974805.1"	"Streptophyta"	210143	"Corchorus capsularis"	NA	NA	"H"	"H"	"H"	88.4	4.3	"Magnoliopsida"	"Streptophyta"	"Malvales"	"Malvaceae"	"Corchorus"	"NCBI"
"GCA_001974825.2"	"Streptophyta"	93759	"Corchorus olitorius"	NA	NA	"H"	"H"	"H"	82.3	7.4	"Magnoliopsida"	"Streptophyta"	"Malvales"	"Malvaceae"	"Corchorus"	"NCBI"
"GCA_002127325.2"	"Streptophyta"	4232	"Helianthus annuus"	NA	NA	"H"	"H"	"H"	97.1	1.4	"Magnoliopsida"	"Streptophyta"	"Asterales"	"Asteraceae"	"Helianthus"	"NCBI"
"GCA_002174775.1"	"Streptophyta"	56857	"Macleaya cordata"	NA	NA	"H"	"H"	"H"	92.6	3	"Magnoliopsida"	"Streptophyta"	"Ranunculales"	"Papaveraceae"	"Macleaya"	"NCBI"
"GCA_002201585.1"	"Streptophyta"	22663	"Punica granatum"	NA	NA	"H"	"H"	"H"	84	4.1	"Magnoliopsida"	"Streptophyta"	"Myrtales"	"Lythraceae"	"Punica"	"NCBI"
"GCA_002211085.2"	"Streptophyta"	206008	"Panicum hallii"	NA	NA	"H"	"H"	"H"	99.2	0.4	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Panicum"	"NCBI"
"GCA_002220415.3"	"Streptophyta"	4565	"Triticum aestivum"	NA	NA	"H"	"H"	"H"	98.8	0.1	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Triticum"	"NCBI"
"GCA_002271885.2"	"Streptophyta"	33114	"Capsicum baccatum"	NA	NA	"H"	"H"	"L"	81.5	6.2	"Magnoliopsida"	"Streptophyta"	"Solanales"	"Solanaceae"	"Capsicum"	"NCBI"
"GCA_002738505.1"	"Streptophyta"	218851	"Aquilegia coerulea"	NA	NA	"H"	"H"	"H"	97.6	1.4	"Magnoliopsida"	"Streptophyta"	"Ranunculales"	"Ranunculaceae"	"Aquilegia"	"NCBI"
"GCA_002762385.1"	"Streptophyta"	429701	"Handroanthus impetiginosus"	NA	NA	"H"	"H"	"H"	79.1	9.3	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Bignoniaceae"	"Handroanthus"	"NCBI"
"GCA_002786265.1"	"Streptophyta"	1088818	"Apostasia shenzhenica"	NA	NA	"H"	"H"	"H"	81.5	8.4	"Magnoliopsida"	"Streptophyta"	"Asparagales"	"Orchidaceae"	"Apostasia"	"NCBI"
"GCA_002870075.4"	"Streptophyta"	4236	"Lactuca sativa"	NA	NA	"H"	"H"	"H"	91.1	2.2	"Magnoliopsida"	"Streptophyta"	"Asterales"	"Asteraceae"	"Lactuca"	"NCBI"
"GCA_002897195.1"	"Streptophyta"	55188	"Citrus unshiu"	NA	NA	"H"	"H"	"H"	92	4.6	"Magnoliopsida"	"Streptophyta"	"Sapindales"	"Rutaceae"	"Citrus"	"NCBI"
"GCA_002906115.5"	"Streptophyta"	58331	"Quercus suber"	NA	NA	"H"	"H"	"M"	79.7	10.2	"Magnoliopsida"	"Streptophyta"	"Fagales"	"Fagaceae"	"Quercus"	"NCBI"
"GCA_002914805.1"	"Streptophyta"	3476	"Parasponia andersonii"	NA	NA	"H"	"H"	"H"	92.9	5.4	"Magnoliopsida"	"Streptophyta"	"Rosales"	"Cannabaceae"	"Parasponia"	"NCBI"
"GCA_002914845.1"	"Streptophyta"	63057	"Trema orientale"	NA	NA	"H"	"H"	"H"	92.3	5.9	"Magnoliopsida"	"Streptophyta"	"Rosales"	"Cannabaceae"	"Trema"	"NCBI"
"GCA_002926015.1"	"Streptophyta"	3634	"Gossypium barbadense"	NA	NA	"H"	"H"	"H"	80.6	8.1	"Magnoliopsida"	"Streptophyta"	"Malvales"	"Malvaceae"	"Gossypium"	"NCBI"
"GCA_002966975.2"	"Streptophyta"	2094558	"Prunus yedoensis var. nudiflora"	NA	NA	"H"	"H"	"H"	80.7	7.9	"Magnoliopsida"	"Streptophyta"	"Rosales"	"Rosaceae"	"Prunus"	"NCBI"
"GCA_002994745.2"	"Streptophyta"	74649	"Rosa chinensis"	NA	NA	"H"	"H"	"H"	97.1	2	"Magnoliopsida"	"Streptophyta"	"Rosales"	"Rosaceae"	"Rosa"	"NCBI"
"GCA_003024255.1"	"Streptophyta"	1590841	"Actinidia chinensis var. chinensis"	NA	NA	"H"	"H"	"H"	94.4	2.5	"Magnoliopsida"	"Streptophyta"	"Ericales"	"Actinidiaceae"	"Actinidia"	"NCBI"
"GCA_003032435.1"	"Streptophyta"	3197	"Marchantia polymorpha"	NA	NA	"H"	"H"	"H"	87.5	1.2	"Marchantiopsida"	"Streptophyta"	"Marchantiales"	"Marchantiaceae"	"Marchantia"	"NCBI"
"GCA_003046395.2"	"Streptophyta"	4540	"Panicum miliaceum"	NA	NA	"H"	"H"	"H"	94.8	2.2	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Panicum"	"NCBI"
"GCA_003061485.1"	"Streptophyta"	1504633	"Panicum hallii var. hallii"	NA	NA	"H"	"H"	"H"	99.3	0.3	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Panicum"	"NCBI"
"GCA_003112345.1"	"Streptophyta"	35608	"Artemisia annua"	NA	NA	"H"	"H"	"H"	90.5	2.8	"Magnoliopsida"	"Streptophyta"	"Asterales"	"Asteraceae"	"Artemisia"	"NCBI"
"GCA_003260385.1"	"Streptophyta"	267555	"Cuscuta australis"	NA	NA	"H"	"H"	"H"	84.9	2.3	"Magnoliopsida"	"Streptophyta"	"Solanales"	"Convolvulaceae"	"Cuscuta"	"NCBI"
"GCA_003260635.2"	"Streptophyta"	69181	"Brassica cretica"	NA	NA	"H"	"H"	"H"	40.8	17.3	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Brassica"	"NCBI"
"GCA_003370565.1"	"Streptophyta"	157652	"Mucuna pruriens"	NA	NA	"H"	"H"	"H"	84	6.3	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Mucuna"	"NCBI"
"GCA_003427395.1"	"Streptophyta"	69332	"Chara braunii"	NA	NA	"H"	"H"	"H"	48	9.5	"Charophyceae"	"Streptophyta"	"Charales"	"Characeae"	"Chara"	"NCBI"
"GCA_003434825.1"	"Streptophyta"	3711	"Brassica rapa"	NA	NA	"H"	"H"	"H"	96.3	2	"Magnoliopsida"	"Streptophyta"	"Brassicales"	"Brassicaceae"	"Brassica"	"NCBI"
"GCA_003490085.1"	"Streptophyta"	97028	"Trifolium medium"	NA	NA	"M"	"H"	"M"	3.5	18.2	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Trifolium"	"NCBI"
"GCA_003546025.1"	"Streptophyta"	337451	"Cinnamomum micranthum f. kanehirae"	NA	NA	"H"	"H"	"H"	87.5	3.7	"Magnoliopsida"	"Streptophyta"	"Laurales"	"Lauraceae"	"Cinnamomum"	"NCBI"
"GCA_003573695.1"	"Streptophyta"	3469	"Papaver somniferum"	NA	NA	"H"	"H"	"H"	90.6	3	"Magnoliopsida"	"Streptophyta"	"Ranunculales"	"Papaveraceae"	"Papaver"	"NCBI"
"GCA_003713155.1"	"Streptophyta"	3818	"Arachis hypogaea"	NA	NA	"H"	"H"	"H"	96.3	0.4	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Arachis"	"NCBI"
"GCA_003952965.2"	"Streptophyta"	262757	"Morella rubra"	NA	NA	"H"	"H"	"H"	80.2	6.8	"Magnoliopsida"	"Streptophyta"	"Fagales"	"Myricaceae"	"Morella"	"NCBI"
"GCA_003958685.2"	"Streptophyta"	3917	"Vigna unguiculata"	NA	NA	"H"	"H"	"H"	96	2.3	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Vigna"	"NCBI"
"GCA_004007595.1"	"Streptophyta"	4530	"Oryza sativa"	NA	NA	"H"	"H"	"H"	75.4	8.7	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Oryza"	"NCBI"
"GCA_004114815.1"	"Streptophyta"	4513	"Hordeum vulgare"	NA	NA	"H"	"H"	"H"	82	4.2	"Magnoliopsida"	"Streptophyta"	"Poales"	"Poaceae"	"Hordeum"	"NCBI"
"GCA_004115005.2"	"Streptophyta"	1094858	"Cucurbita argyrosperma subsp. argyrosperma"	NA	NA	"H"	"H"	"H"	87.4	7.4	"Magnoliopsida"	"Streptophyta"	"Cucurbitales"	"Cucurbitaceae"	"Cucurbita"	"NCBI"
"GCA_004115385.1"	"Streptophyta"	3750	"Malus domestica"	NA	NA	"H"	"H"	"H"	93.6	1.5	"Magnoliopsida"	"Streptophyta"	"Rosales"	"Rosaceae"	"Malus"	"NCBI"
"GCA_004153795.2"	"Streptophyta"	542762	"Camellia sinensis var. sinensis"	NA	NA	"H"	"H"	"H"	67.8	12.3	"Magnoliopsida"	"Streptophyta"	"Ericales"	"Theaceae"	"Camellia"	"NCBI"
"GCA_004303085.2"	"Streptophyta"	608512	"Perilla frutescens var. hirtella"	NA	NA	"H"	"H"	"H"	83.1	1.9	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Lamiaceae"	"Perilla"	"NCBI"
"GCA_004320505.1"	"Streptophyta"	157739	"Vigna angularis var. angularis"	NA	NA	"H"	"H"	"H"	94.2	2.9	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Vigna"	"NCBI"
"GCA_004329165.1"	"Streptophyta"	455371	"Spatholobus suberectus"	NA	NA	"H"	"H"	"H"	89.5	7.7	"Magnoliopsida"	"Streptophyta"	"Fabales"	"Fabaceae"	"Spatholobus"	"NCBI"
"GCA_004379255.2"	"Streptophyta"	180675	"Salvia splendens"	NA	NA	"H"	"H"	"H"	94.1	2.4	"Magnoliopsida"	"Streptophyta"	"Lamiales"	"Lamiaceae"	"Salvia"	"NCBI"
"GCA_004837865.1"	"Streptophyta"	52838	"Musa balbisiana"	NA	NA	"H"	"H"	NA	86.9	4.5	"Magnoliopsida"	"Streptophyta"	"Zingiberales"	"Musaceae"	"Musa"	"NCBI"
