Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_000151315.2	C_owczarzaki_V2	Capsaspora owczarzaki ATCC 30864	595528	27967784	Scaffold
GCA_000151125.2	ASM15112v2	Trichophyton benhamiae CBS 112371	663331	22224160	Contig
GCA_000003525.2	BD_ER3_V1	Blastomyces dermatitidis ER-3	559297	66568269	Scaffold
GCA_000403515.1	ASM40351v1	Pseudozyma hubeiensis SY62	1305764	18442938	Scaffold
GCA_001636725.1	ISF 1.0	Cordyceps fumosorosea ARSEF 2679	1081104	33485962	Scaffold
GCA_943737965.1	PHOROB	Phodopus roborovskii	109678	2384223288	Contig
GCA_041296355.1	Hham4.1	Hypothenemus hampei	57062	172631967	Scaffold
GCA_014108235.1	mMyoMyo1.p	Myotis myotis	51298	2002780556	Scaffold
GCA_030704895.1	SYSU_HVIGI_v1.0	Henosepilachna vigintioctopunctata	420089	496115591	Contig
GCA_013390195.1	ASM1339019v1	Colletotrichum siamense	690259	62936415	Contig
GCA_020740775.1	Neora1	Ilyonectria destructans	64609	71715727	Contig
GCA_024500475.1	ASM2450047v1	Phthorimaea operculella	192464	648202259	Contig
GCA_014180765.2	ASM1418076v2	Marchantia paleacea	56867	250803610	Contig
GCA_001561935.1	ASM156193v1	Penicillium griseofulvum	5078	29140916	Contig
GCA_903632075.3	SPHA2.0	Sepia pharaonis	158019	4785531890	Contig
GCA_020137385.1	ASM2013738v1	Morchella sextelata	1174677	53569587	Contig
GCA_008065275.1	ASM806527v1	Vanrija humicola	5417	22632906	Scaffold
GCA_904845875.1	Mlu_assembly	Miscanthus lutarioriparius	422564	2074797027	Scaffold
GCA_031763795.1	ASM3176379v1	Prototheca wickerhamii	3111	17200027	Contig
GCA_029379305.1	ASM2937930v1	Frankliniella fusca	407009	372449807	Scaffold
GCA_002006685.2	Batr_sala_V2	Batrachochytrium salamandrivorans	1357716	73346731	Contig
GCA_033782935.1	Cinc_v1.9	Petrolisthes cinctipes	88211	1491118247	Contig
GCA_001048715.1	Pbras_Allpaths-LG	Penicillium brasilianum	104259	35888622	Scaffold
GCA_013358835.2	BIME_Iper_1.3	Ixodes persulcatus	34615	1899962506	Scaffold
GCA_000836115.1	Exop_spin_CBS89968_V1	Exophiala spinifera	91928	32912349	Scaffold
GCA_029204205.1	Loph_1.0	Desmophyllum pertusum	174260	556858542	Scaffold
GCA_019973155.2	ASM1997315v2	Phanerochaete sordida	48140	41214235	Contig
GCA_025642075.2	R07B-5	Ridgeia piscesae	27915	658248170	Contig
GCA_024036415.1	ASM2403641v1	Prochilodus magdalenae	148989	1182454182	Contig
GCA_006386115.1	DCB_P.spl	Globisporangium splendens	82926	53361008	Scaffold
GCA_025331445.1	Blatri1	Blakeslea trispora	4850	37513922	Contig
GCA_000150275.1	v1.0	Trichoplax adhaerens	10228	105631681	Scaffold
GCA_003724135.2	ASM372413v2	Verticillium nonalfalfae	1051616	31747483	Scaffold
GCA_030674165.1	ASM3067416v1	Pygoscelis papua	30457	1283624771	Scaffold
GCA_902728275.1	AAE3_genes	Cyclocybe aegerita	1973307	44790776	Scaffold
GCA_010087175.1	BGI_Apat.V1	Aptenodytes patagonicus	9234	1252291219	Scaffold
GCA_905071765.1	OR_assembly	Tilletia controversa	13291	49872806	Scaffold
GCA_013115135.1	ASM1311513v1	Perkinsus olseni	32597	63092640	Scaffold
GCA_000708835.1	ASM70883v1	Klebsormidium nitens	105231	103921766	Scaffold
GCA_008360955.1	F_buski_1.0.allpaths-lg	Fasciolopsis buskii	27845	748157630	Scaffold
GCA_008508345.1	ASM850834v1	Paragonimus westermani	34504	922829509	Scaffold
GCA_000715545.1	OpiViv1.0	Opisthorchis viverrini	6198	620452578	Scaffold
GCA_000520075.1	Apha_asta_APO3_V1	Aphanomyces astaci	112090	75844385	Scaffold
GCA_000188695.1	Proterospongia_sp_ATCC50818	Salpingoeca rosetta	946362	55440309	Scaffold
GCA_001939145.1	ASM193914v1	Symbiodinium microadriaticum	2951	808226712	Scaffold
GCA_009835225.1	LBME_Acra_1.0	Aphis craccivora	307492	318873360	Scaffold
GCA_000705375.2	ASM70537v2	Tinamus guttatus	94827	1047056493	Scaffold
GCA_000687185.1	ASM68718v1	Egretta garzetta	188379	1206484573	Scaffold
GCA_000699245.1	ASM69924v1	Pterocles gutturalis	240206	1069324295	Scaffold
GCA_000688135.1	Acey_2013.11.30.genDNA	Ancylostoma ceylanicum	53326	313092710	Scaffold
GCA_000709365.1	ASM70936v1	Tauraco erythrolophus	121530	1155540733	Scaffold
GCA_000328365.1	Capca1	Capitella teleta	283909	333283208	Scaffold
GCA_000695195.1	ASM69519v1	Chlamydotis macqueenii	187382	1086566339	Scaffold
GCA_000499605.1	EMW001	Eimeria maxima	5804	45975062	Scaffold
GCA_000803305.1	Toxocara_canis_adult_r1.0	Toxocara canis	6265	317115901	Scaffold
GCA_900537255.1	ASM90053725v1	Acanthocheilonema viteae	6277	77350906	Scaffold
GCA_001276565.1	ASM127656v1	Melipona quadrifasciata	166423	256302695	Scaffold
GCA_036418165.1	C_oncophora_1.0.allpaths.nc.pg.lrna	Cooperia oncophora	27828	503682193	Scaffold
GCA_902706635.1	SHERM	Striga hermonthica	68872	962481565	Scaffold
GCA_000797555.1	O_dentatum_10.0.ec.cg.pg	Oesophagostomum dentatum	61180	443017110	Scaffold
GCA_024613185.1	Pismi2	Pisolithus microcarpus	178872	77250852	Contig
GCA_004154835.1	ASM415483v1	Alternaria arborescens	156630	33943449	Scaffold
GCA_024516155.1	Pyrom1	Pyronema omphalodes	337075	61002793	Contig
GCA_000275845.1	Dichomitus squalens v1.0	Dichomitus squalens LYAD-421 SS1	732165	42748430	Scaffold
GCA_000145635.1	Gae_graminis_V2	Gaeumannomyces tritici R3-111a-1	644352	43618147	Scaffold
GCA_000315625.1	Guith1	Guillardia theta CCMP2712	905079	87145349	Scaffold
GCA_000150505.2	SO6	Schizosaccharomyces octosporus yFS286	483514	11634473	Scaffold
GCA_910890315.1	Sindica_reseq	Serendipita indica DSM 11827	1109443	24724951	Contig
GCA_000349005.2	Pneumo_murina_B123_V4	Pneumocystis murina B123	1069680	7501343	Contig
GCA_003019875.1	Amore1	Amorphotheca resinae ATCC 22711	857342	28632918	Scaffold
GCA_000340215.1	Mycfi2	Pseudocercospora fijiensis CIRAD86	383855	74141167	Scaffold
GCA_004565275.1	ASM456527v1	Nannochloropsis salina CCMP1776	1027361	27600439	Scaffold
GCA_001329695.1	Rhoba1_1	Rhodotorula graminis WP1	578459	21013998	Scaffold
GCA_000769265.1	ASM76926v1	Hapsidospora chrysogenum ATCC 11550	857340	28563214	Scaffold
GCA_000213175.1	v2.0	Neurospora tetrasperma FGSC 2508	510951	39146333	Scaffold
GCA_000150735.2	Paracocci_br_Pb18_V2	Paracoccidioides brasiliensis Pb18	502780	29952540	Scaffold
GCA_001636715.1	AAP 1.0	Ascosphaera apis ARSEF 7405	392613	20313079	Scaffold
GCA_000006405.1	JCVI_PMG_1.0	Perkinsus marinus ATCC 50983	423536	86605074	Scaffold
GCA_028828025.1	ASM2882802v1	Penicillium rubens	1108849	30336503	Contig
GCA_015179015.1	Boled5	Boletus edulis BED1	1328754	66525486	Contig
GCA_000320605.2	Ceriporiopsis subvermispora B v1.0	Gelatoporia subvermispora B	914234	38969650	Scaffold
GCA_000383075.1	NosBomCQ1_v1.0	Nosema bombycis CQ1	578461	15689776	Scaffold
GCA_041156055.1	O.moschatus_RAN27_v1.0	Ovibos moschatus	37176	2602186402	Scaffold
GCA_028827405.1	ASM2882740v1	Penicillium crustosum	36656	32953279	Contig
GCA_020360975.1	ASM2036097v1	Hirsutella rhossiliensis	111463	81749301	Scaffold
GCA_028827555.1	ASM2882755v1	Penicillium brevicompactum	5074	34726155	Contig
GCA_918797485.1	CNM_v1	Pelagomonas calceolata	35677	32445274	Contig
GCA_011075155.1	ASM1107515v1	Colletotrichum scovillei	1209932	52001227	Contig
GCA_028829755.1	ASM2882975v1	Penicillium solitum	60172	33256298	Contig
GCA_902825455.1	iArcPla.TrioY.curated.20190705	Arctia plantaginis	874455	577993050	Scaffold
GCA_037039515.1	ASM3703951v1	Marssonina coronariae	503106	54484178	Contig
GCA_011823955.1	KU_Dm_1.0	Dissostichus mawsoni	36200	926363279	Scaffold
GCA_036971725.1	ASM3697172v1	Arthrobotrys conoides	74498	40273263	Contig
GCA_032760415.1	ASM3276041v1	Diplocarpon rosae	946125	36933718	Contig
GCA_903813345.2	Owenia_chromosome	Owenia fusiformis	6347	499544331	Scaffold
GCA_020744475.1	Fusre1	Fusarium redolens	48865	52563400	Contig
GCA_005784505.1	ASM578450v1	Bagarius yarrelli	175774	570806968	Scaffold
GCA_000203815.1	DFas_2.0	Cavenderia fasciculata	261658	31019208	Scaffold
GCA_023529315.1	Yrk_Pbra_ont_1	Papaver bracteatum	215227	2150148553	Scaffold
GCA_030220185.1	Dpun_1.1	Diploptera punctata	6984	3127968605	Contig
GCA_030913585.1	ASM3091358v1	Electrophorus voltai	2609070	550353391	Scaffold
GCA_033459395.1	ASM3345939v1	Hemibagrus guttatus	175788	749090754	Scaffold
GCA_037102785.1	ASM3710278v1	Maudiozyma humilis	51915	14688528	Scaffold
GCA_000732125.1	ScApio1.0	Scedosporium apiospermum	563466	43437139	Scaffold
GCA_040956935.1	ASM4095693v1	Trichinella pseudospiralis	6337	56636606	Contig
GCA_026229845.1	ASM2622984v1	Diaporthe amygdali	1214568	51483502	Scaffold
GCA_021527685.1	ASM2152768v1	Aphanomyces euteiches	100861	73284099	Contig
GCA_001511075.1	Acal_Allpaths_LG	Aspergillus calidoustus	454130	41102685	Scaffold
GCA_001896365.1	ASM189636v1	Talaromyces amestolkiae	1196081	33721883	Scaffold
GCA_025024175.1	Rdo_ARS_Dec2018	Rhyzopertha dominica	92692	479166780	Scaffold
GCA_019448385.1	MSCA_Paluth_1.1	Diacronema lutheri	2081491	43502671	Contig
GCA_003260565.1	ASM326056v1	Monilinia fructigena	38457	43125165	Contig
GCA_030913485.1	Colgo1	Colletotrichum godetiae	1209918	51652851	Contig
GCA_022606235.1	Abobie1	Abortiporus biennis	137743	33118568	Contig
GCA_030522465.2	ASM3052246v2	Rhipicephalus appendiculatus	34631	2366026835	Contig
GCA_022606055.1	Tragib1	Trametes gibbosa	160864	33109328	Contig
GCA_007182795.1	ASM718279v1	Xylaria flabelliformis	2512241	41150291	Scaffold
GCA_008330645.1	CrBVI	Cafeteria roenbergensis	33653	36283887	Contig
GCA_026026815.1	ASM2602681v1	Trichoglossum hirsutum	265104	35872256	Contig
GCA_030435635.1	Armbor1	Armillaria borealis	47425	71689880	Contig
GCA_021605075.1	Cdar_1.0	Caerostris darwini	1538125	1501919382	Scaffold
GCA_005281655.2	TAMU_Nfulva_1.1	Nylanderia fulva	613905	369947649	Scaffold
GCA_021525775.1	Lacdel1	Lactarius deliciosus	55514	96043985	Contig
GCA_001447515.1	ASM144751v1	Pseudocohnilembus persalinus	266149	55455357	Scaffold
GCA_033238685.1	ASM3323868v1	Lates japonicus	270547	837949969	Scaffold
GCA_023601865.2	ASM2360186v2	Aspergillus affinis	1070780	37565501	Scaffold
GCA_030068145.1	Dp_PB-MI_190104_dedup_cut_l100	Diplonema papillatum	91374	280283133	Contig
GCA_021066465.1	ASM2106646v1	Trichoderma asperelloides	702382	36270279	Scaffold
GCA_003070745.1	Tubbor1	Tuber borchii	42251	97184993	Contig
GCA_008802855.1	Ppyr1.3	Photinus pyralis	7054	471511253	Scaffold
GCA_000320565.2	Septoria musiva SO2202 v1.0	Sphaerulina musiva SO2202	692275	29352103	Scaffold
GCA_003676055.1	GouldianFinch	Chloebia gouldiae	44316	1070785140	Scaffold
GCA_013398635.1	ASM1339863v1	Copsychus sechellarum	797021	1052094435	Scaffold
GCA_011392965.1	Fvar_1.2	Frieseomelitta varia	561572	275421029	Scaffold
GCA_000327385.1	Helro1	Lottia gigantea	225164	359505668	Scaffold
GCA_020080175.1	ASM2008017v1	Glutinoglossum americanum	1670608	26395934	Scaffold
GCA_003203535.1	Rsub_1.0	Raphidocelis subcapitata	307507	51162697	Scaffold
GCA_963454935.2	ILEXP v3	Ilex paraguariensis	185542	1064802823	Scaffold
GCA_933822405.4	Cyc-CA1.15-REFERENCE-ANNOTATED	Cylindrotheca closterium	2856	55068444	Scaffold
GCA_006352295.1	UMAN_Rdio_1.0	Rhodotorula diobovata	5288	21142622	Scaffold
GCA_000204515.1	Aech_3.9	Acromyrmex echinatior	103372	295944863	Scaffold
GCA_000376725.2	Lful_2.0	Ladona fulva	123851	1157615891	Scaffold
GCA_002249935.1	O_flexuosa_1.0.allpaths.pg.lrna	Onchocerca flexuosa	387005	67740367	Scaffold
GCA_006547085.1	Malus_baccata_v1.0	Malus baccata	106549	674411566	Scaffold
GCA_029747585.1	Pleurotus_djamor_reassembly_enz	Pleurotus djamor	34470	62543681	Scaffold
GCA_027596075.1	ASM2759607v1	Rhizophlyctis rosea	64517	48149512	Scaffold
GCA_903772945.1	Semro_V1	Seminavis robusta	568900	125572603	Scaffold
GCA_013399435.1	ASM1339943v1	Arenaria interpres	54971	1124618860	Scaffold
GCA_900604375.1	M_corti_Specht_Voge_0011_upd	Mesocestoides corti	53468	117181740	Scaffold
GCA_003182015.1	ASM318201v1	Tuber magnatum	42249	192781443	Scaffold
GCA_019974015.1	Npil_1.0	Nephila pilipes	299642	2694500076	Scaffold
GCA_000708025.2	ASM70802v2	Charadrius vociferus	50402	1219859583	Scaffold
GCA_008636005.1	SGA_v2.0	Striga asiatica	4170	471563096	Scaffold
GCA_000797535.1	T_suis_1.0.allpaths	Trichuris suis	68888	63839715	Scaffold
GCA_013186435.1	ASM1318643v1	Turdus rufiventris	311356	1046948833	Scaffold
GCA_900005855.1	PGAL8A	Plasmodium gallinaceum	5849	24997804	Scaffold
GCA_000499385.1	ENH001	Eimeria necatrix	51315	55007932	Scaffold
GCA_000699145.1	ASM69914v1	Aptenodytes forsteri	9233	1254347440	Scaffold
GCA_000747805.2	ChaPel_1.1	Chaetura pelagica	8897	1118724105	Scaffold
GCA_003991915.1	ElyChl2.0	Elysia chlorotica	188477	557480303	Scaffold
GCA_902702965.1	SerJ_v2_0	Spirometra erinaceieuropaei	99802	796029360	Scaffold
GCA_000692075.1	ASM69207v1	Opisthocomus hoazin	30419	1203712246	Scaffold
GCA_013400445.1	ASM1340044v1	Leiothrix lutea	36275	1058758629	Scaffold
GCA_000696875.1	ASM69687v1	Nestor notabilis	176057	1053559886	Scaffold
GCA_000691785.1	ASM69178v1	Leptosomus discolor	188344	1136244952	Scaffold
GCA_000691845.1	ASM69184v1	Merops nubicus	57421	1062961556	Scaffold
GCA_000690535.1	ASM69053v1	Cariama cristata	54380	1132245425	Scaffold
GCA_000690775.1	ASM69077v1	Eurypyga helias	54383	1088019637	Scaffold
GCA_000765035.1	BN946	Trametes cinnabarina	5643	33668918	Scaffold
GCA_013235015.1	Ave_3.0	Araneus ventricosus	182803	3656621265	Scaffold
GCA_000687285.1	ASM68728v1	Phaethon lepturus	97097	1152958507	Scaffold
GCA_000695765.1	ASM69576v1	Mesitornis unicolor	54374	1087290853	Scaffold
GCA_000699105.1	ASM69910v1	Pygoscelis adeliae	9238	1216600033	Scaffold
GCA_000700745.2	ASM70074v2	Antrostomus carolinensis	279965	1118829799	Scaffold
GCA_000687375.1	ASM68737v1	Pelecanus crispus	36300	1160924693	Scaffold
GCA_000695815.1	ASM69581v1	Acanthisitta chloris	57068	1035876403	Scaffold
GCA_018107945.1	UCR_Dstr_1.4	Datura stramonium	4076	2110457301	Scaffold
GCA_043882145.1	ASM4388214v1	Gnathostoma spinigerum	75299	239892851	Scaffold
GCA_020521535.1	Sleprosula_assembly_01	Rubroshorea leprosula	152421	347348880	Scaffold
GCA_011754075.1	ASM1175407v1	Pontoporia blainvillei	48723	2011747776	Scaffold
GCA_026937265.1	CoeloLatMeio_1.0_UCR	Coelomomyces lativittatus	945690	21857322	Scaffold
GCA_000816745.1	A_duodenale_2.2.ec.cg.pg	Ancylostoma duodenale	51022	332875813	Scaffold
GCA_036780745.1	ASM3678074v1	Vairimorpha bombi	40135	4738936	Scaffold
GCA_002352805.1	T_circumcincta.14.0.ec.cg.pg	Teladorsagia circumcincta	45464	700607159	Scaffold
GCA_946863485.1	Ecrassus_DP1_MAC_1.0	Moneuplotes crassus	5936	59699089	Contig
GCA_035048745.1	Mvel_NIH1002.PB.canu.pilon.trimmedMito	Mucor velutinosus	708070	40195241	Contig
GCA_001466705.2	ASM146670v2	Moniliophthora roreri	221103	59541696	Contig
GCA_038025095.1	Pcit122482	Phyllosticta citricarpa	55181	30007393	Contig
GCA_000006515.1	JCVI-cmg-v1.0	Cryptosporidium muris RN66	441375	9245251	Scaffold
GCA_000708205.1	Mixia osmundae v1.0	Mixia osmundae IAM 14324	764103	13634488	Scaffold
GCA_000516985.1	PFICI	Pestalotiopsis fici W106-1	1229662	51910726	Scaffold
GCA_000182565.2	S_punctatus_V1	Spizellomyces punctatus DAOM BR117	645134	24131112	Scaffold
GCA_000271605.1	Fomme1	Fomitiporia mediterranea MF3/22	694068	63354419	Scaffold
GCA_001299535.1	ASM129953v1	Leptomonas seymouri	5684	27764161	Scaffold
GCA_000709895.1	ASM70989v1	Balearica regulorum gibbericeps	100784	1127605500	Scaffold
GCA_000710305.1	ASM71030v1	Buceros rhinoceros silvestris	175836	1065782791	Scaffold
GCA_000751175.1	Stylonychia_lemnae_asm_v1.0	Stylonychia lemnae	5949	50164522	Contig
GCA_022702325.1	ASM2270232v1	Drepanopeziza brunnea f. sp. 'multigermtubi'	698441	51946279	Contig
GCA_000320585.2	Heterobasidion irregulare v2.0	Heterobasidion irregulare TC 32-1	747525	33649967	Scaffold
GCA_001890725.1	Aspwe1	Aspergillus wentii DTO 134E9	1073089	31350635	Scaffold
GCA_001477545.1	Pneu_cari_B80_V3	Pneumocystis carinii B80	1408658	7661456	Contig
GCA_000349305.2	ASM34930v2	Malassezia sympodialis ATCC 42132	1230383	7669689	Scaffold
GCA_000271645.1	Treme1	Tremella mesenterica DSM 1558	578456	28639919	Scaffold
GCA_000523435.1	Cochliobolus carbonum v1.0	Bipolaris zeicola 26-R-13	930089	31267936	Scaffold
GCA_000739165.1	Mort_vert_NRRL_6337_V1	Podila verticillata NRRL 6337	1069443	41854149	Scaffold
GCA_000464535.1	EPUS	Endocarpon pusillum Z07020	1263415	37130611	Scaffold
GCA_000151455.1	ASM15145v1	Trichophyton tonsurans CBS 112818	647933	22964077	Scaffold
GCA_932364175.1	Eruca_sativa	Eruca vesicaria subsp. sativa	29727	842592905	Scaffold
GCA_001186125.1	Spha_arctica_JP610_V1	Sphaeroforma arctica JP610	667725	121588341	Scaffold
GCA_000209125.2	JCVI_EDISG_1.0	Entamoeba dispar SAW760	370354	30633164	Scaffold
GCA_001636795.1	LEL 1.0	Akanthomyces lecanii RCEF 1005	1081108	35594087	Scaffold
GCA_002760635.1	GanSi1.6	Ganoderma sinense ZZ0214-1	1077348	48955697	Scaffold
GCA_002092935.1	Pycco1	Trametes coccinea BRFM310	1353009	32757859	Scaffold
GCA_001189435.1	Tophv1.0	Tolypocladium ophioglossoides CBS 100239	1163406	31245833	Scaffold
GCA_000827315.1	Piloderma croceum F 1598 v1.0	Piloderma croceum F 1598	765440	59326866	Scaffold
GCA_000827485.1	Amanita muscaria Koide BX008 v1.0	Amanita muscaria Koide BX008	946122	40699759	Scaffold
GCA_015951145.1	Croqu1	Cronartium quercuum f. sp. fusiforme G11	708437	76567842	Scaffold
GCA_030270665.1	Htrionum_1.0	Hibiscus trionum	183268	1671232404	Contig
GCA_034814905.1	PDav_Duke_2022_v1.1	Penstemon davidsonii	160366	437568744	Scaffold
GCA_014108415.1	mMolMol1.p	Molossus molossus	27622	2315568481	Scaffold
GCA_014108245.1	mPipKuh1.p	Pipistrellus kuhlii	59472	1775688541	Scaffold
GCA_032206185.1	C.guinea_mat1.0	Columba guinea	135627	1302215470	Contig
GCA_013202065.2	CoteBio_Ctyphae	Cotesia typhae	2053667	186662351	Contig
GCA_020746995.1	Plecuc1	Plectosphaerella cucumerina	40658	36520717	Contig
GCA_022836555.1	Ctol_6.0	Colletotrichum tofieldiae	708197	54252643	Contig
GCA_036245825.1	ASM3624582v1	Pristionchus entomophagus	358040	244859149	Scaffold
GCA_028828655.1	ASM2882865v1	Penicillium verrucosum	60171	32831822	Contig
GCA_039105305.1	ASM3910530v1	Apiospora arundinis	335852	48741668	Contig
GCA_038363885.1	ASM3836388v1	Apiospora rasikravindrae	990691	46378008	Contig
GCA_028828875.1	ASM2882887v1	Penicillium capsulatum	69766	27651227	Contig
GCA_023375755.1	ASM2337575v1	Paramyrothecium foliicola	1859967	47288662	Contig
GCA_030435815.1	ASM3043581v1	Sarocladium strictum	5046	32378563	Contig
GCA_019788955.1	BYU_Aglo_1.0	Albula glossodonta	121402	1049070812	Scaffold
GCA_021436955.3	ASM2143695v3	Diplodia seriata	420778	37536239	Contig
GCA_024862765.1	Bcaballi_D6B2_v1.0	Babesia caballi	5871	12779071	Contig
GCA_003851025.1	SCP_1.1	Sparassis crispa	139825	39020349	Contig
GCA_008065305.1	ASM806530v1	Cutaneotrichosporon oleaginosum	879819	19820908	Contig
GCA_022606135.1	Fomfom1	Fomes fomentarius	40442	40950972	Contig
GCA_036320915.1	MoeNVP64_1	Linnemannia elongata	310910	51153770	Contig
GCA_013053245.1	LU_AGP_1.0	Agrocybe pediades	84607	45149591	Contig
GCA_019364595.1	ASM1936459v1	Butyriboletus roseoflavus	1325616	33976981	Contig
GCA_036872635.1	ASM3687263v1	Orbilia brochopaga	3140254	36324335	Contig
GCA_030407055.1	Armmel1	Armillaria mellea	47429	70852771	Contig
GCA_020726555.1	Boeex1	Boeremia exigua	749465	35322113	Contig
GCA_009299455.1	ASM929945v1	Monilinia laxa	61186	42814844	Contig
GCA_030867565.1	CCOSS01	Colletotrichum costaricense	1209916	51625248	Scaffold
GCA_019671135.1	ASM1967113v1	Linnemannia hyalina	64524	51558230	Contig
GCA_022606195.1	Trapol1	Trametes polyzona	239206	34431392	Contig
GCA_025882075.1	ASM2588207v1	Dioszegia hungarica	4972	20956552	Contig
GCA_038021145.1	Pcitr2	Phyllosticta citriasiana	595635	33767235	Contig
GCA_020744425.1	Dacma1	Dactylonectria macrodidyma	307937	77328613	Contig
GCA_021927905.1	Cten210_1.0	Chaetoceros tenuissimus	426638	41001288	Scaffold
GCA_963681835.1	Meloidogyne_enterolobii_E1834_genome_assembly	Meloidogyne enterolobii	390850	285400598	Contig
GCA_029706075.1	AAFF_1.1	Aldrovandia affinis	143900	1228814362	Scaffold
GCA_019787685.1	ASM1978768v1	Chiua virens	1914213	48496802	Contig
GCA_020744225.1	Parch1	Paraphoma chrysanthemicola	798071	40663325	Contig
GCA_015342445.1	DiExil	Digitaria exilis	1010633	760650579	Contig
GCA_025504975.1	ASM2550497v1	Plenodomus lindquistii	301713	38594945	Contig
GCA_022376465.1	Tralac1	Cubamyces lactineus	1391043	36341856	Contig
GCA_014898415.1	ASM1489841v1	Stromatinia cepivora	38492	55666819	Contig
GCA_036245805.1	ASM3624580v1	Pristionchus mayeri	1317129	290822667	Scaffold
GCA_026008595.1	LshimejAT787	Lyophyllum shimeji	47721	31834823	Contig
GCA_964263705.1	GTX0501_assembly	Xanthoria parietina	107463	29958160	Scaffold
GCA_029948375.1	ASM2994837v1	Ramalina farinacea	258253	32742913	Contig
GCA_004522665.1	ASM452266v1	Venturia nashicola	86259	41878255	Contig
GCA_003942205.1	ASM394220v1	Apiotrichum porosum	105984	25479456	Contig
GCA_015698045.1	RCL21	Rhizophagus clarus	94130	146836162	Contig
GCA_021365365.1	Ilyrob1	Ilyonectria robusta	1079257	59648482	Contig
GCA_021365295.1	Hymvar1	Hymenoscyphus varicosporioides	2075069	48242133	Contig
GCA_900519145.1	Uho2_v1	Ustilago hordei	120017	26637005	Contig
GCA_022264815.1	Fomros1	Rhodofomes roseus	34475	38369625	Contig
GCA_018340605.1	Asppvi_assembly01	Aspergillus pseudoviridinutans	1517512	33330675	Scaffold
GCA_018397855.1	ASM1839785v1	Boletus reticuloceps	495285	55833107	Contig
GCA_024699855.1	AORT.fasta	Aphelenchoides besseyi	269767	47428222	Scaffold
GCA_003942215.1	ASM394221v1	Saitozyma podzolica	1890683	29888215	Contig
GCA_025526995.1	Powhir1	Powellomyces hirtus	109895	29428253	Contig
GCA_000835515.1	Exop_olig_CBS72588_V1	Exophiala oligosperma	215243	38224514	Scaffold
GCA_030869225.1	CABS01	Colletotrichum abscissum	1671311	53936108	Scaffold
GCA_040367835.1	Mfluvus_1.0	Mucor flavus	439312	33728218	Contig
GCA_023159155.1	Kredeu1	Ustulina deusta	110526	56079074	Contig
GCA_000835495.1	Clad_immu_CBS83496_V1	Cladophialophora immunda	569365	43029152	Scaffold
GCA_963669975.1	AobtHiC_assembly	Acanthoscelides obtectus	200917	1105071634	Scaffold
GCA_025766275.1	Lacind1	Lactarius indigo	222702	90316074	Contig
GCA_013368325.1	LU_COA_1.0	Tulosesus angulatus	980116	59300204	Contig
GCA_019973935.1	Tncv_1.0	Trichonephila clavipes	2585209	2874350602	Scaffold
GCA_949089665.1	Meuphorbiae_v1	Macrosiphum euphorbiae	13131	560308062	Scaffold
GCA_022385695.1	Xylarb124340_1	Xylaria arbuscula	114810	51163159	Scaffold
GCA_020186115.1	ASM2018611v1	Histomonas meleagridis	135588	43414808	Scaffold
GCA_024613165.1	Pisalb1	Pisolithus albus	178870	87748750	Contig
GCA_002105105.1	Prola1	Protomyces lactucae-debilis	2754530	12928838	Contig
GCA_029289565.1	ASM2928956v1	Mycena galericulata	71905	197139282	Contig
GCA_030435595.1	Armtab1	Desarmillaria tabescens	1929756	74875987	Contig
GCA_003013735.1	Cand_pseudohaemulonii_B12108	Candidozyma pseudohaemuli	418784	12591275	Scaffold
GCA_007026445.1	Auramp1	Auriculariopsis ampla	97359	49873921	Contig
GCA_001481775.2	TGAM01v2	Trichoderma gamsii	398673	37908251	Scaffold
GCA_018404265.1	Aspvir_assembly01	Aspergillus viridinutans	75553	34888349	Scaffold
GCA_019049425.1	ASM1904942v1	Scheffersomyces spartinae	45513	12132557	Contig
GCA_001642045.1	Parsp1	Paraphaeosphaeria sporulosa	1460663	38464024	Scaffold
GCA_018342105.1	ULB_GQUI_1.0	Gonioctena quinquepunctata	63699	1731947787	Contig
GCA_016628565.1	Suipla1	Suillus placidus	48579	55323552	Contig
GCA_030869305.1	CTAM01	Colletotrichum tamarilloi	1209934	52071711	Scaffold
GCA_025716855.1	Pilano1	Pilaira anomala	64641	34898111	Contig
GCA_001907595.1	ASM190759v1	Talaromyces atroroseus	1441469	30858562	Scaffold
GCA_000836295.1	O_gall_CBS43764	Verruconis gallopava	253628	31780469	Scaffold
GCA_022495235.1	Xylcur114988_1	Xylaria curta	42375	43923592	Scaffold
GCA_005406025.1	Evar_2.0	Eumeta japonica	151549	727118372	Scaffold
GCA_016758785.1	Suibov1	Suillus bovinus	48563	47496138	Contig
GCA_001865345.1	ASM186534v1	Cryptosporidium ubiquitum	857276	8970213	Scaffold
GCA_022478825.1	Dalcal1	Daldinia caldariorum	326644	35556611	Scaffold
GCA_009193545.1	Aspara19utr	Aspergillus arachidicola	656916	39764385	Scaffold
GCA_022606075.1	Pipbet1_1	Fomitopsis betulina	40450	42863829	Contig
GCA_003324165.2	Nlova_2.1	Naegleria lovaniensis	51637	30830176	Scaffold
GCA_022495145.1	Xylbam139988_1	Xylaria bambusicola	326684	45705225	Scaffold
GCA_900074885.1	version 1	Rhynchosporium commune	914237	55639110	Scaffold
