Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submitter	Assembly BioProject Accession	Annotation Count Gene Total
GCA_016800925.1	Suipic1	Suillus spraguei	5383		87086403	Contig	DOE Joint Genome Institute	PRJNA333478	19496
GCA_000264995.1	Punctularia strigosozonata v1.0	Punctularia strigosozonata HHB-11173 SS5	741275		34171901	Scaffold	JGI	PRJNA52407	11647
GCA_017365405.1	ASM1736540v1	Cadophora malorum	108018		48945047	Contig	European Refreshements	PRJNA665147	16507
GCA_004355085.1	Ricmel1	Rickenella mellea	50990		45069463	Scaffold	DOE Joint Genome Institute	PRJNA334780	17193
GCA_001972305.1	Cfol_1.0	Cephalotus follicularis	3775		1614517073	Scaffold	National Institute for Basic Biology	PRJDB4484	36503
GCA_025890175.1	ASM2589017v1	Ciborinia camelliae	647257		46380254	Scaffold	University of Milan	PRJNA853157	11703
GCA_016748015.1	ASM1674801v1	Geosiphon pyriformis	50956		128319586	Scaffold	University of Ottawa	PRJNA610605	24009
GCA_015501595.1	Hymrad1	Hymenopellis radicata	937743		78586690	Contig	DOE Joint Genome Institute	PRJNA334360	28038
GCA_033576145.1	Clasam1	Cladorrhinum samala	585594		36213901	Scaffold	DOE Joint Genome Institute	PRJNA953075	11131
GCA_011799765.1	ASM1179976v1	Nymphaea thermarum	419125		368003157	Scaffold	Harvard University	PRJNA508901	25461
GCA_014281905.1	ASM1428190v1	Aspergillus hiratsukae	1194566		30071213	Scaffold	UNICAMP	PRJNA633131	9685
GCA_019973975.1	Tnct_1.0	Trichonephila clavata	2740835		2497895991	Scaffold	Institute for Advanced Biosciences, Keio University	PRJDB10007	78379
GCA_001687445.1	Obbri1	Obba rivulosa	1052685		34037596	Scaffold	DOE Joint Genome Institute	PRJNA247915	13374
GCA_008692635.1	BGI_CrCroc_1.0	Crocuta crocuta	9678		2348360376	Scaffold	BGI	PRJNA554753	19698
GCA_003073855.1	Perma1	Periconia macrospinosa	97972		54992973	Scaffold	DOE Joint Genome Institute	PRJNA243955	18854
GCA_900624975.1	A_costaricensis_Costa_Rica_0011_upd	Angiostrongylus costaricensis	334426		262782696	Scaffold	WTSI	PRJEB494	13417
GCA_022160305.1	Clapy1	Artomyces pyxidatus	48021		37987417	Scaffold	DOE Joint Genome Institute	PRJNA239090	15231
GCA_037179515.1	Hrubra_v1	Halocaridina rubra	373956		1232496077	Contig	University of Texas at Austin	PRJNA1037494	28666
GCA_013397395.1	ASM1339739v1	Sinosuthora webbiana	337173		1050295543	Scaffold	B10K Consortium	PRJNA545868	16033
GCA_000350225.2	ASM35022v2	Chondrus crispus	2769		104800334	Scaffold	Genoscope - Centre National de Sequencage	PRJEA78309	9843
GCA_024635365.1	ASM2463536v1	Aix galericulata	8832		1079824113	Scaffold	Academia Sinica	PRJNA787744	16600
GCA_001913855.2	ASM191385v2	Hermanssonia centrifuga	98765		34612349	Contig	CBS-KNAW Fungal Biodiversity Centre Institute of the Royal Netherlands Academy of Arts and Science	PRJNA348519	13889
GCA_004802725.1	ASM480272v1	Antrodiella citrinella	2447956		33017182	Scaffold	IHI Zittau / TU Dresden	PRJNA517448	9805
GCA_002335675.1	C.eustigma genome v1.0	Chlamydomonas eustigma	1157962		66605202	Scaffold	Department of Cell Genetics, National Institute of Genetics	PRJDB5468	14112
GCA_013398595.1	ASM1339859v1	Cercotrichas coryphoeus	614051		1029849930	Scaffold	B10K Consortium	PRJNA545868	15241
GCA_001970955.1	ASM197095v1	Stentor coeruleus	5963		77789515	Contig	University of California, San Francisco	PRJNA352242	31426
GCA_004794785.1	ICG_Ofel_1.0	Opisthorchis felineus	147828		679245959	Scaffold	Institute of Cytology and Genetics SB RAS	PRJNA413383	11427
GCA_013397515.1	ASM1339751v1	Upupa epops	57439		972138363	Scaffold	B10K Consortium	PRJNA545868	15122
GCA_013398335.1	ASM1339833v1	Nothoprocta ornata	83376		978286010	Scaffold	B10K Consortium	PRJNA545868	14967
GCA_000190715.1	v1.0	Dictyostelium purpureum	5786		32967225	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	PRJNA30991	12403
GCA_013399995.1	ASM1339999v1	Oenanthe oenanthe	279966		1001836003	Scaffold	B10K Consortium	PRJNA545868	15622
GCA_019155715.1	JHI_pseudo_1.0	Phytophthora pseudosyringae	221518		48923166	Scaffold	University of St Andrews	PRJNA702035	15624
GCA_003547095.1	Glomus_Soap2_v3.1.nr.fa	Diversispora epigaea	1348612		156576535	Scaffold	Cornell University	PRJNA431769	28348
GCA_004802695.1	ASM480269v1	Phellinidium pouzarii	167371		28590294	Contig	IHI Zittau / TU Dresden	PRJNA521454	8701
GCA_013389905.1	ASM1338990v1	Sula dactylatra	56068		1136665023	Scaffold	B10K Consortium	PRJNA545868	14518
GCA_013398735.1	ASM1339873v1	Nothocercus julius	2585813		1019400681	Scaffold	B10K Consortium	PRJNA545868	14778
GCA_000986645.1	ASM98664v1	Aspergillus rambellii	308745		26435630	Contig	USDA-ARS-SRRC	PRJNA275129	7761
GCA_003550325.1	ASM355032v1	Gigaspora rosea	44941		567860885	Scaffold	INRA	PRJNA430513	31506
GCA_002174775.1	MC_HNAU_1.0	Macleaya cordata	56857		377833576	Scaffold	Chinese Academy of Agricultural Sciences	PRJNA359127	21911
GCA_003731715.1	BGI_Agra_1.0	Anabarilius grahami	495550		991887266	Scaffold	BGI	PRJNA477399	23906
GCA_002081595.1	ACH_lane_v1	Achlya hypogyna	1202772		43398470	Scaffold	University of Rhode Island	PRJNA169234	14406
GCA_007821545.1	CFIA_Lsub_EG2017	Lachnellula subtilissima	602034		35230510	Contig	Canadian Food Inspection Agency (CFIA)	PRJNA437651	9027
GCA_001179505.1	Vbrassicaformis	Vitrella brassicaformis CCMP3155	1169540		72700666	Scaffold	KAUST	PRJEB7564	23503
GCA_019968535.1	UTMN_FragSetig_1.0	Fragariocoptes setiger	1670756		40885299	Contig	University of Tyumen	PRJNA604463	3174
GCA_000520115.1	Apha_inva_NJM9701_V1	Aphanomyces invadans	157072		71402472	Scaffold	Broad Institute	PRJNA188082	15416
GCA_900010015.1	PRJEB11238_BCW_v1	Tuber aestivum	59557		144718305	Scaffold	Genoscope CEA	PRJEB11238	9297
GCA_000691975.1	ASM69197v1	Corvus brachyrhynchos	85066		1091312783	Scaffold	BGI	PRJNA212869	16474
GCA_013396955.1	ASM1339695v1	Regulus satrapa	13245		1011445235	Scaffold	B10K Consortium	PRJNA545868	14668
GCA_000703405.1	ASM70340v1	Apaloderma vittatum	57397		1070836417	Scaffold	BGI	PRJNA212878	13200
GCA_025201805.1	Parpar1	Parasitella parasitica	35722		32767132	Scaffold	DOE Joint Genome Institute	PRJNA334778	12403
GCA_001642005.1	IntLin1.0	Intoshia linei	1819745		41603068	Scaffold	A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University	PRJNA316116	8724
GCA_000690835.1	ASM69083v1	Fulmarus glacialis	30455		1141395646	Scaffold	BGI	PRJNA212894	13926
GCA_015849325.1	UCR_MspKOD1229_1.0	Mortierella antarctica	979670		35455509	Scaffold	DOE Joint Genome Institute	PRJNA340822	10450
GCA_013401275.1	ASM1340127v1	Pandion haliaetus	56262		1147624024	Scaffold	B10K Consortium	PRJNA545868	14179
GCA_000696155.1	ZooNev1.0	Zootermopsis nevadensis	136037		485009472	Scaffold	BGI	PRJNA203242	15813
GCA_026074375.1	Tcoc_v1.0	Tanacetum coccineum	301880		9463677832	Scaffold	Research & development laboratory, DAINIHON JOCHUGIKU Co.,Ltd.	PRJDB12537	1581981
GCA_001263275.1	ASM126327v1	Habropoda laboriosa	597456		296954667	Scaffold	BGI	PRJNA279436	12862
GCA_002600585.1	ASM260058v1	Cystoisospora suis	483139		83597486	Scaffold	Institute of Parasitology - Vetmeduni Vienna	PRJNA341953	11543
GCA_003550305.1	ASM355030v1	Glomus cerebriforme	658196		136820789	Scaffold	INRA	PRJNA430010	21336
GCA_027627235.1	Agrocybe_chaxingu_MP-N11_reassembly	Agrocybe chaxingu	84603		40343159	Scaffold	TU Dresden - IHI Zittau	PRJNA855555	12419
GCA_025201675.1	Cunech1	Cunninghamella echinulata	76405		29002410	Scaffold	DOE Joint Genome Institute	PRJNA347074	10533
GCA_000699545.1	ASM69954v1	Podiceps cristatus	345573		1134922578	Scaffold	BGI	PRJNA212905	13553
GCA_006535955.1	ASM653595v1	Synchytrium endobioticum	286115		21483073	Scaffold	Agriculture and Agri-Food Canada	PRJNA453734	8031
GCA_016098005.1	UCR_MminAD069_1.0	Podila minutissima	64525		39396580	Scaffold	DOE Joint Genome Institute	PRJNA340852	12023
GCA_004681135.1	ASM468113v1	Hericium alpestre	135208		37532302	Scaffold	IHI Zittau / TU Dresden	PRJNA521006	11007
GCA_029286575.1	ASM2928657v1	Pitangus sulphuratus	371930		1037404267	Scaffold	LNCC	PRJNA576661	17493
GCA_027627215.1	Lecanicillium_saksenae_reassembly	Lecanicillium saksenae	468837		35354223	Contig	TU Dresden - IHI Zittau	PRJNA855341	11361
GCA_000699945.1	ASM69994v1	Cathartes aura	43455		1152571117	Scaffold	BGI	PRJNA212890	13116
GCA_000327345.1	ASM32734v1	Myotis davidii	225400		2059799708	Scaffold	BGI	PRJNA171994	15630
GCA_001594115.1	Tsep1.0	Trachymyrmex septentrionalis	34720		291747019	Scaffold	BGI	PRJNA292625	15352
GCA_000223845.4	GNI3	Gregarina niphandrodes	110365		14009070	Scaffold	J. Craig Venter Institute	PRJNA59799	6606
GCA_900617975.1	H_nana_Japan_0011_upd	Rodentolepis nana	102285		162943536	Scaffold	WTSI	PRJEB508	13777
GCA_009428275.1	AAFC_TLATCC42080_1	Tilletia laevis	157183		28777633	Scaffold	Agriculture and Agri-Food Canada	PRJNA393337	9799
GCA_000827895.1	ASM82789v1	Thelohanellus kitauei	669202		150348159	Scaffold	Chinese Academy of Agricultural Sciences (CAAS)	PRJNA193083	15020
GCA_032403825.1	ASM3240382v1	Odynerus spinipes	1348599		168455862	Scaffold	Zoologisches Forschungsmuseum Alexander Koenig (ZFMK)	PRJNA735081	12450
GCA_001633215.2	ASM163321v2	Dichanthelium oligosanthes	888268		589166415	Scaffold	University of Nebraska	PRJNA305932	26468
GCA_910592005.1	Funneliformis_mosseae_87-6_pot_B_2015	Funneliformis mosseae	27381		145719962	Contig	UPPSALA UNIVERISTY	PRJEB45340	16857
GCA_002909625.1	Bthov1.0	Bambusicola thoracicus	9083		1032295167	Scaffold	University of Florida	PRJNA396570	17763
GCA_027596945.1	ASM2759694v1	Physocladia obscura	109957		44089900	Scaffold	University of Michigan	PRJNA629974	12959
GCA_013401375.1	ASM1340137v1	Spizella passerina	40210		1018792982	Scaffold	B10K Consortium	PRJNA545868	10272
GCA_040143965.1	BranAGB5_UCR_1.0	Basidiobolus ranarum	34480		64992022	Contig	University of California, Riverside	PRJNA759578	18635
GCA_009887335.1	TAU_Hsal_1	Henneguya salminicola	69463		61443780	Scaffold	Tel-Aviv University	PRJNA485580	8188
GCA_000388065.2	Font_alba_ATCC_38817_V2	Fonticula alba	691883		31216622	Scaffold	Broad Institute	PRJNA189482	6457
GCA_003610855.1	ASM361085v1	Erysiphe neolycopersici	212602		41983253	Scaffold	University of Maryland	PRJNA329529	6851
GCA_900617985.1	A_simplex_0011_upd	Anisakis simplex	6269		126869778	Scaffold	WTSI	PRJEB496	20971
GCA_003611235.1	ASM361123v1	Golovinomyces cichoracearum	62708		65886882	Scaffold	University of Maryland	PRJNA329524	6532
GCA_000499745.2	EMH001	Eimeria mitis	44415		72240319	Scaffold	WTSI	PRJEB4835	10077
GCA_900624965.1	S_vulgaris_Kentucky_0011_upd	Strongylus vulgaris	40348		291096078	Scaffold	WTSI	PRJEB531	21079
GCA_900617965.1	C_goldi_Cheshire_0011	Cylicostephanus goldi	71465		173362437	Scaffold	WTSI	PRJEB498	13906
GCA_024510155.1	Gulo_gulo_luscus_R-V1.0	Gulo gulo luscus	2888765		2388197593	Scaffold	The Hospital for Sick Children	PRJNA775072	9758
GCA_003850985.1	Aawm_assembly01	Aspergillus awamori	105351		38597812	Contig	Medical Mycology Research Center	PRJDB4986	11669
GCA_002846915.2	Aspergillus ochraceoroseus IBT 24754 v1.1	Aspergillus ochraceoroseus IBT 24754	1392256		27718211	Contig	DOE Joint Genome Institute	PRJNA217213	9070
GCA_030347475.1	UMN_CgA_1	Cadophora gregata	51156		47765811	Contig	University of Minnesota	PRJNA896616	15026
GCA_002105135.1	Synrac1	Syncephalastrum racemosum	13706		30745403	Contig	DOE Joint Genome Institute	PRJNA330704	11247
GCA_039999085.1	Rhomi1	Cystobasidium minutum MCA 4210	1397322		20824934	Scaffold	DOE Joint Genome Institute	PRJNA218034	7870
GCA_002865645.1	Melbi2	Hyaloscypha bicolor E	1095630		82384847	Scaffold	DOE Joint Genome Institute	PRJNA196026	18653
GCA_043170715.1	Cryan3	Cryomyces antarcticus	329879		50971245	Contig	DOE Joint Genome Institute	PRJNA346676	9490
GCA_000827325.1	Oidiodendron maius Zn v1.0	Oidiodendron maius Zn	913774		46426256	Scaffold	JGI	PRJNA74727	16776
GCA_000281105.1	Coni_apol_CBS100218 _V1	Coniosporium apollinis CBS 100218	1168221		28645321	Scaffold	Broad Institute	PRJNA157061	9367
GCA_963674455.1	LECACI7	Lecanosticta acicola	111012		30411460	Contig	Centro Nacional de Análisis Genómico	PRJEB62798	10195
GCA_000827355.1	Hebeloma cylindrosporum h7 v2.0	Hebeloma cylindrosporum	76867		38226047	Scaffold	DOE Joint Genome Institute	PRJNA207849	15525
GCA_003813185.1	Lenti7_1	Lentinus tigrinus ALCF2SS1-7	1328758		39530113	Scaffold	DOE Joint Genome Institute	PRJNA200617	15670
GCA_002102555.1	Catan2	Catenaria anguillulae PL171	765915		41337528	Contig	DOE Joint Genome Institute	PRJNA330705	13266
GCA_000392275.1	UCRPA7V03	Phaeoacremonium minimum UCRPA7	1286976		47465449	Scaffold	UC Davis	PRJNA188116	8834
GCA_000600275.1	Eurhe1	Aspergillus ruber CBS 135680	1388766		26209327	Scaffold	DOE Joint Genome Institute	PRJNA215335	10241
GCA_000150975.2	MS_CBS118893	Nannizzia gypsea CBS 118893	535722		23249403	Scaffold	Broad Institute	PRJNA20599	9029
GCA_001006345.1	UCRPA7V1.0	Phaeomoniella chlamydospora	158046		27513354	Scaffold	University of California Davis	PRJNA261774	6907
GCA_042370625.1	Mychet1	Thermothelomyces heterothallicus CBS 202.75	1149848		35440081	Scaffold	DOE Joint Genome Institute	PRJNA219689	9404
GCA_000697705.1	Botbo1	Botryobasidium botryosum FD-172 SS1	930990		46674321	Scaffold	JGI	PRJNA69807	16665
GCA_000151505.1	ASM15150v1	Trichophyton verrucosum HKI 0517	663202		22540967	Scaffold	Arthroderma Genome Sequencing Consortium	PRJNA39693	8086
GCA_000300595.1	Phanerochaete carnosa HHB-10118-Sp v1.0	Phanerochaete carnosa HHB-10118-sp	650164		46293325	Scaffold	DOE Joint Genome Institute	PRJNA38425	14087
GCA_002554575.1	Amanita thiersii v1.0	Amanita thiersii Skay4041	703135		33689220	Scaffold	JGI	PRJNA82749	10346
GCA_000344685.1	Glotr1_1	Gloeophyllum trabeum ATCC 11539	670483		37178225	Scaffold	JGI	PRJNA64553	11885
GCA_002705745.1	Coere1	Coemansia reversa NRRL 1564	763665		21837878	Scaffold	JGI	PRJNA68631	7415
GCA_000442015.1	Rozella_k41_t100	Rozella allomycis CSF55	988480		11859274	Scaffold	University of Michigan	PRJNA81749	6350
GCA_013401055.1	ASM1340105v1	Uria aalge	13746		1181532998	Scaffold	B10K Consortium	PRJNA545868	15596
GCA_000257125.1	ENU1 v1	Entamoeba nuttalli P19	1076696		14399953	Scaffold	J. Craig Venter Institute	PRJNA72167	6193
GCA_001566745.1	Conidiobolus coronatus NRRL28638	Conidiobolus coronatus NRRL 28638	796925		39903661	Scaffold	JGI-PSF	PRJNA67455	11229
GCA_040955855.1	C_amara_ONT_v2	Cardamine amara subsp. amara	228776		284066716	Contig	Plant Science and Biodiversity Centre; Slovak Academy of Sciences	PRJNA1075929	36438
GCA_010093695.1	Photr1	Plenodomus tracheiphilus IPT5	1408161		34242632	Scaffold	DOE Joint Genome Institute	PRJNA223133	13297
GCA_000003855.2	BD_SLH14081_V1	Blastomyces gilchristii SLH14081	559298		75353942	Scaffold	Broad Institute	PRJNA29173	10148
GCA_000827205.1	Plicr1	Plicaturopsis crispa FD-325 SS-3	944288		34498066	Scaffold	DOE Joint Genome Institute	PRJNA207847	13729
GCA_002104905.1	Basme2finSC	Basidiobolus meristosporus CBS 931.73	1314790		89489060	Contig	DOE Joint Genome Institute	PRJNA196075	16781
GCA_009733575.1	Gyman1	Gymnopus androsaceus JB14	1447944		89149538	Scaffold	DOE Joint Genome Institute	PRJNA234428	29765
GCA_000525045.1	DREv1	Drechslerella stenobrocha 248	1043628		21174508	Scaffold	Institute of Microbiology, Chinese Academy of Sciences	PRJNA67941	5597
GCA_000956045.1	ASM95604v1	Hirsutella minnesotensis 3608	1043627		51111088	Scaffold	Institute of Microbiology, Chinese Academy of Sciences	PRJNA67943	12700
GCA_000934385.1	Cylto1	Cylindrobasidium torrendii FP15055 ss-10	1314674		31574086	Scaffold	DOE Joint Genome Institute	PRJNA196018	14242
GCA_000003515.2	ASM351v2	Uncinocarpus reesii 1704	336963		22327935	Scaffold	Broad Institute	PRJNA15634	7856
GCA_011800875.2	Suibr2	Suillus brevipes Sb2	1400700		52027859	Scaffold	DOE Joint Genome Institute	PRJNA218802	21558
GCA_000827255.1	Suilu1	Suillus luteus UH-Slu-Lm8-n1	930992		37014302	Scaffold	DOE Joint Genome Institute	PRJNA242126	18419
GCA_000832265.1	Phlgi1	Phlebiopsis gigantea 11061_1 CR5-6	745531		30143925	Scaffold	DOE Joint Genome Institute	PRJNA207860	12014
GCA_000151295.1	A_macrogynus_V3	Allomyces macrogynus ATCC 38327	578462		57060573	Scaffold	Broad Institute	PRJNA20563	19282
GCA_000827415.1	Sebacina vermifera MAFF 305830 v1.0	Serendipita vermifera MAFF 305830	933852		38094242	Scaffold	DOE Joint Genome Institute	PRJNA207844	15317
GCA_002844005.1	Godwit_v1	Limosa lapponica baueri	1758121		1034771378	Scaffold	Universidade Federal do Rio de Janeiro	PRJNA321163	23009
GCA_000827465.1	Tulasnella calospora AL13/4D v1.0	Tulasnella calospora MUT 4182	1051891		62392858	Scaffold	DOE Joint Genome Institute	PRJNA207843	19635
GCA_029603245.1	Rhisa1	Rhizopogon salebrosus TDB-379	632084		82271765	Scaffold	DOE Joint Genome Institute	PRJNA333299	19010
GCA_012489335.1	Parmale_b_g1	Triparma laevis f. inornata	1714386		42573550	Scaffold	Tohoku National Fisheries Research Institute, Fisheries Research Agency	PRJDB8243	13396
GCA_029282475.1	ASM2928247v1	Phrynocephalus forsythii	171643		1816888593	Scaffold	Lanzhou University	PRJNA699736	20194
GCA_033675105.1	Podap1	Podospora appendiculata	314037		39954210	Contig	DOE Joint Genome Institute	PRJNA371215	12244
GCA_030512295.1	Bombom1	Bombardia bombarda	252184		38597794	Contig	DOE Joint Genome Institute	PRJNA371210	12445
GCA_030549165.1	Lasmin1	Lasiosphaeria miniovina	1954250		49418628	Contig	DOE Joint Genome Institute	PRJNA371219	15244
GCA_011692745.1	ASM1169274v1	Arthroderma uncinatum	74035		23563256	Contig	Chinese Academy of Medical Science and Peking Union Medical College	PRJNA587833	7083
GCA_030512335.1	Cercau1	Immersiella caudata	314043		41294634	Contig	DOE Joint Genome Institute	PRJNA371207	14977
GCA_033439745.1	Lashi1	Lasiosphaeria hispida	260671		48441159	Contig	DOE Joint Genome Institute	PRJNA371218	15081
GCA_033439765.1	Lasov1	Lasiosphaeria ovina	92902		51771160	Contig	DOE Joint Genome Institute	PRJNA371217	15256
GCA_033439705.1	Cersc1	Cercophora scortea	314031		40165273	Contig	DOE Joint Genome Institute	PRJNA371212	12064
GCA_030549175.1	Lashir1	Lasiosphaeris hirsuta	260670		44448086	Contig	DOE Joint Genome Institute	PRJNA370050	14467
GCA_030673865.1	USP_Mbic_1.2	Melipona bicolor	60889		259877319	Scaffold	Universidade de Sao Paulo	PRJNA632864	20426
GCA_014462675.1	ASM1446267v1	Mycena sanguinolenta	230812		167179886	Contig	Academia Sinica	PRJNA623720	24024
GCA_020744385.1	Fuseq1	Fusarium flagelliforme	2675880		40328194	Contig	DOE Joint Genome Institute	PRJNA370199	13910
GCA_030512285.1	Cernew1	Cercophora newfieldiana	92897		39838444	Contig	DOE Joint Genome Institute	PRJNA371209	15034
GCA_030549215.1	Schves1	Schizothecium vesticola	314040		35941384	Contig	DOE Joint Genome Institute	PRJNA371211	12959
GCA_033439725.1	Gelte1	Neurospora tetraspora	94610		43856413	Contig	DOE Joint Genome Institute	PRJNA370048	11718
GCA_020726465.1	Chagl1	Chaetomium tenue	1854479		34154134	Contig	DOE Joint Genome Institute	PRJNA571620	11750
GCA_019096155.1	ASM1909615v1	Staphylotrichum longicolle	669026		35599146	Scaffold	Hamburg University	PRJNA413482	10979
GCA_033439685.1	Apope1	Apodospora peruviana	516989		42017045	Contig	DOE Joint Genome Institute	PRJNA370049	13822
GCA_033439775.1	Poddi1	Podospora didyma	330526		48328886	Contig	DOE Joint Genome Institute	PRJNA370046	15367
GCA_033439085.1	Chafi1	Chaetomium fimeti	1854472		35321551	Contig	DOE Joint Genome Institute	PRJNA370047	11628
GCA_028828765.1	ASM2882876v1	Penicillium canescens	5083		46284494	Contig	Aalborg University	PRJNA867151	14193
GCA_033458365.1	Neuhi1	Neurospora hispaniola	588809		40807401	Contig	DOE Joint Genome Institute	PRJNA371216	10876
GCA_029168975.1	ASM2916897v1	Purpureocillium lavendulum	1247861		46132948	Contig	Yunnan University	PRJNA916066	11479
GCA_019650295.1	Ck_assembly01	Cercospora kikuchii	84275		34440063	Contig	Japan International Research Center for Agricultural Sciences	PRJDB10872	13001
GCA_020002365.1	ASM2000236v1	Trichoderma gracile	1195189		34062918	Contig	Hainan University	PRJNA757587	10197
GCA_030407005.1	Armect1	Desarmillaria ectypa	47430		40598130	Contig	DOE Joint Genome Institute	PRJNA463936	12408
GCA_030268105.1	VaThai_1.0	Volvox africanus	51714		141009466	Contig	Department of Chemical and Biological Sciences, Faculty of Science, Japan Women's University	PRJDB14448	13456
GCA_020726525.1	Truan1	Truncatella angustata	152316		47102642	Contig	DOE Joint Genome Institute	PRJNA347197	14971
GCA_022984875.1	Hypfra2	Hypoxylon fragiforme	63214		36400909	Contig	DOE Joint Genome Institute	PRJNA583858	10382
GCA_030407015.1	Armfum1	Armillaria fumosa	153910		55824865	Contig	DOE Joint Genome Institute	PRJNA677794	16318
GCA_000820605.1	S_brasiliensis_5110_v1	Sporothrix brasiliensis 5110	1398154		33205847	Contig	LNCC	PRJNA218075	9231
GCA_012980515.1	Ophcf2	Ophiocordyceps camponoti-floridani	2030778		30193175	Contig	University of Central Florida	PRJNA596481	7455
GCA_036971715.1	ASM3697171v1	Arthrobotrys musiformis	47236		42091834	Contig	Academia Sinica	PRJNA523416	12327
GCA_003260385.1	Cau_v1.0	Cuscuta australis	267555		262630465	Contig	Kunming Institute of Botany, Chinese Academy of Sciences	PRJNA394036	18157
GCA_039105265.1	ASM3910526v1	Tritrichomonas musculus	1915356		193486829	Contig	National Institues of Health	PRJNA841657	46131
GCA_041260175.1	TUD_VanAlb_v1.0	Vanrija albida	181172		22534050	Contig	TU Dresden - IHI Zittau	PRJNA1001290	9320
GCA_033439795.1	Sorbr1	Sordaria brevicollis	83679		53085477	Contig	DOE Joint Genome Institute	PRJNA371213	11359
GCA_020744255.1	Mictri1	Microdochium trichocladiopsis	1682393		49282715	Contig	DOE Joint Genome Institute	PRJNA370119	16222
GCA_030867605.1	CPAR01	Colletotrichum paranaense	1914294		49177916	Contig	University of Western Brittany	PRJNA350896	16775
GCA_047716405.1	ASM4771640v1	Fusarium chlamydosporum	86545		37798897	Contig	UNAM	PRJNA1213090	11365
GCA_945859915.1	ASM94585991v1	Cuscuta epithymum	186058		997015527	Contig	biology centre, czech academy of sciences	PRJEB51495	44945
GCA_020736505.1	Altro1	Alternaria rosae	1187941		33831682	Contig	DOE Joint Genome Institute	PRJNA347188	12727
GCA_030265305.1	UNM_Bpfe_1.0	Biomphalaria pfeifferi	112525		771819456	Contig	University of New Mexico	PRJNA855116	35527
GCA_022606115.1	Hexnit1	Daedaleopsis nitida	1140402		41833432	Contig	DOE Joint Genome Institute	PRJNA444033	15167
GCA_030267565.1	PlestBisexual_1.0	Pleodorina starrii	330485		136124605	Contig	Higashiyama Developmental-Cell-Biology Lab, Graduate School of Science, Department of Biological Sciences, The University of Tokyo	PRJDB13720	17110
GCA_019321695.1	ASM1932169v1	Diaporthe batatas	748121		54186171	Contig	Crop Research Institute, Guangdong Academy of Agricultural Sciences	PRJNA743425	13864
GCA_030549205.1	Apibac1	Apiosordaria backusii	314023		40188346	Contig	DOE Joint Genome Institute	PRJNA371214	12714
GCA_038380885.1	Pcit129764	Phyllosticta citrichinensis	1130410		29528840	Contig	DOE Joint Genome Institute	PRJNA677177	10384
GCA_029531795.1	NWAFU_SnTB1_1.0	Sclerotinia nivalis	352851		50198487	Contig	Northwest A&F University	PRJNA885313	13276
GCA_022432525.1	Dalgra1	Daldinia grandis	103428		37510053	Contig	DOE Joint Genome Institute	PRJNA567212	10693
GCA_030407065.1	Armnab1	Armillaria nabsnona	64368		62718798	Contig	DOE Joint Genome Institute	PRJNA500837	19306
GCA_015832175.1	ASM1583217v1	Paraphaeosphaeria minitans	565426		47922910	Contig	University of Bedfordshire	PRJNA588476	13677
GCA_021365285.1	Talpro1	Talaromyces proteolyticus	1131652		37611490	Contig	DOE Joint Genome Institute	PRJNA340474	13667
GCA_029204075.1	Mycrub1	Mycena capillaripes	230804		119906144	Contig	DOE Joint Genome Institute	PRJNA370000	37658
GCA_002251995.2	ASM225199v2	Wickerhamiella sorbophila	45607		8129113	Contig	KRIBB	PRJNA383455	4741
GCA_038025025.1	Pcit17464	Phyllosticta citribraziliensis	989973		31354043	Contig	DOE Joint Genome Institute	PRJNA712080	10849
GCA_013461495.1	Bfra_R1V1	Botrytis fragariae	1964551		41923773	Contig	University of Maryland, College Park	PRJNA627915	12350
GCA_033220655.1	ASM3322065v1	Pseudopithomyces chartarum	1892770		39134556	Contig	AgResearch	PRJNA596850	11628
GCA_009982845.1	Delst1	Delphinella strobiligena	147560		29209081	Contig	DOE Joint Genome Institute	PRJNA333968	10553
GCA_014925845.1	Crafun1	Crassisporium funariophilum	1954473		37117181	Contig	DOE Joint Genome Institute	PRJNA370017	13796
GCA_020746835.1	Stael1	Stachybotrys elegans	80388		43467584	Contig	DOE Joint Genome Institute	PRJNA370118	15082
GCA_905066765.1	Sctrf_SwB9_genome	Sclerotinia trifoliorum	28548		39909921	Contig	RWTH Aachen University	PRJEB36746	10623
GCA_015956445.1	Theter1	Thelephora terrestris	56493		40733037	Contig	DOE Joint Genome Institute	PRJNA346452	13458
GCA_014058105.1	ASM1405810v1	Kingdonia uniflora	39325		1004558319	Contig	Chinese Academy of Sciences	PRJNA587615	43300
GCA_014066315.1	Lelup_v1.1	Letharia lupina	560253		49166941	Contig	Eastern Washington University	PRJNA633119	11074
GCA_002897235.1	Bovata_7.1	Babesia ovata	189622		14453397	Contig	Research Center for Zoonosis Control, Hokkaido univ	PRJDB5725	5108
GCA_016746295.1	UT_Pstr_1.0	Potamilus streckersoni	2493646		1776755686	Scaffold	University of Texas at Austin	PRJNA681676	43193
GCA_027921405.1	LboTFB7810_1	Lentinula detonsa	2804962		40333654	Contig	DOE Joint Genome Institute	PRJNA460315	12555
