##,name,portal,NCBI Taxon,assembly length,#of genes,is restricted,is public,is published,is superseded,superseded by,publication(s),pubmed id(s),doi id(s)
208,Ostreococcus lucimarinus,Ost9901_3,242159,13204888,,N,Y,Y,N,,"Palenik B et al.,2007",17460045,
209,Physcomitrium patens v1.1,Phypa1_1,3218,479985347,35938,N,Y,Y,N,,"Rensing SA et al.,2008",18079367,
210,Arabidopsis lyrata,Araly1,59689,206667935,,N,Y,Y,N,,"Hu TT et al.,2011",21478890,
211,Schizochytrium aggregatum ATCC 28209 v1.0,Schag1,876976,40854260,10612,Y,Y,N,N,,,,
212,Aplanochytrium kerguelense PBS07 v1.0,Aplke1,87111,35774161,11892,Y,Y,N,N,,,,
213,Phytophthora cinnamomi var cinnamomi v1.0,Phyci1,622258,77967402,26131,Y,Y,N,N,,,,
214,Aurantiochytrium limacinum ATCC MYA-1381 v1.0,Aurli1,717989,60926267,14859,Y,Y,N,N,,,,
215,Pseudo-nitzschia multiseries CLN-47,Psemu1,37319,218730801,19703,Y,Y,N,N,,,,
216,Bigelowiella natans CCMP2755 v1.0,Bigna1,753081,94701163,21708,N,Y,Y,N,,"Curtis BA et al.,2012",23201678,
217,Guillardia theta CCMP2712 v1.0,Guith1,905079,87159915,24840,N,Y,Y,N,,"Curtis BA et al.,2012",23201678,
218,Phytophthora capsici LT1534 v11.0,Phyca11,4784,64023748,19805,N,Y,Y,N,,"Lamour KH et al.,2012",22712506,
219,Fragilariopsis cylindrus CCMP 1102,Fracy1,186039,80540407,21066,N,Y,Y,N,,"Mock T et al.,2017",28092920,
220,Thalassiosira pseudonana CCMP 1335,Thaps3_bd,296543,1135583,386,N,Y,Y,N,,"Bowler C et al.,2008",18923393,
221,Phaeodactylum tricornutum CCAP 1055/1 v2.0,Phatr2,2850,26138756,10025,N,Y,Y,N,,"Bowler C et al.,2008",18923393,
222,Thalassiosira pseudonana CCMP 1335 v3.0,Thaps3,296543,31301782,11390,N,Y,Y,N,,"Armbrust EV et al.,2004~Bowler C et al.,2008",15459382 18923393,
223,Chrysochromulina parva Lackey,Chrpa1_1,127563,65764750,24838,N,Y,Y,N,,,,10.1016/j.algal.2018.11.023
224,Diacronema lutheri NIVA-4/92,Dialut1,2081491,43502671,13777,N,Y,Y,N,,"Hulatt CJ et al.,2021",34343248,
225,Saccharina japonica str. Ja,Sacja1,88149,548536073,18732,N,Y,Y,N,,"Ye N et al.,2015",25908475,
226,Gracilariopsis chorda SKKU-2015,Graco1_1,448386,92180038,8855,N,Y,Y,N,,"Lee J et al.,2018",29688518,
227,Gonium pectorale NIES-2863,Gonpec1,33097,148806073,16290,N,Y,Y,N,,"Hanschen ER et al.,2016",27102219,
228,Monoraphidium neglectum SAG 48.87,Monneg1,145388,69711829,16755,N,Y,Y,N,,"Bogen C et al.,2013",24373495,
229,Zygnema circumcarinatum SAG 698-1b,Zygcir6981b_2,35869,70999792,10678,N,Y,Y,N,,,,10.1101/2023.01.31.526407
230,Bathycoccus prasinos RCC1105,Batpra1,1075084,15074320,7900,N,Y,Y,N,,"Moreau H et al.,2012",22925495,
231,Ulva mutabilis Foyn,Ulvmu1_1,498180,98484689,11066,N,Y,Y,N,,"De Clerck O et al.,2018",30220504,
232,Dunaliella salina CCAP19/18,Dunsal1_1,3046,343704392,18801,N,Y,Y,N,,,,10.1128/genomeA.01105-17 10.1016/j.algal.2020.101990
233,Populus trichocarpa v1.1,Poptr1_1,3694,485510911,45555,N,Y,Y,N,,"Tuskan GA et al.,2006",16973872,
