"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Phylum name","Order name","Family name","Genus name"
"134","GCA_900090005.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,77.9,2.91,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"135","GCA_900090025.2","Alveolata",36330,"Plasmodium ovale",NA,NA,NA,NA,NA,NA,88.3,1.46,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"136","GCA_900090035.2","Alveolata",36330,"Plasmodium ovale",NA,NA,NA,NA,NA,NA,98.46,0.3,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"137","GCA_900090045.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,98.98,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"138","GCA_900093535.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,96.32,0.27,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"139","GCA_900093545.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,96.92,0.19,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"140","GCA_900093555.2","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,99.18,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"141","GCA_900095545.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.57,0.19,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"142","GCA_900095555.1","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,93.99,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"143","GCA_900095565.1","Alveolata",5826,"Plasmodium chabaudi adami",NA,NA,NA,NA,NA,NA,98.11,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"144","GCA_900095585.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.98,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"145","GCA_900095595.1","Alveolata",880534,"Plasmodium sp. gorilla clade G1",NA,NA,NA,NA,NA,NA,98.63,0.14,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"146","GCA_900095605.1","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,98.38,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"147","GCA_900095625.1","Alveolata",5826,"Plasmodium chabaudi adami",NA,NA,NA,NA,NA,NA,97.94,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"148","GCA_900095635.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.07,0.44,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"149","GCA_900097015.1","Alveolata",880535,"Plasmodium sp. gorilla clade G2",NA,NA,NA,NA,NA,NA,98.98,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"150","GCA_900097025.1","Alveolata",5854,"Plasmodium reichenowi",NA,NA,NA,NA,NA,NA,99.01,0.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"151","GCA_900097035.1","Alveolata",880536,"Plasmodium sp. gorilla clade G3",NA,NA,NA,NA,NA,NA,97.2,0.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"152","GCA_900097045.1","Alveolata",647221,"Plasmodium gaboni",NA,NA,NA,NA,NA,NA,98.82,0.14,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"153","GCA_900240055.1","Alveolata",720590,"Plasmodium sp. DRC-Itaito",NA,NA,NA,NA,NA,NA,98.79,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"154","GCA_900257145.2","Alveolata",720590,"Plasmodium sp. DRC-Itaito",NA,NA,NA,NA,NA,NA,93.66,0.74,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"155","GCA_900681995.1","Alveolata",54757,"Plasmodium vinckei vinckei",NA,NA,NA,NA,NA,NA,98.08,0.47,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"156","GCA_902459845.2","Alveolata",2600580,"Hepatocystis sp. ex Piliocolobus tephrosceles",NA,NA,NA,NA,NA,NA,90.22,3.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Hepatocystis"
"157","GCA_903994205.1","Alveolata",119398,"Plasmodium vinckei brucechwatti",NA,NA,NA,NA,NA,NA,97.25,0.88,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"158","GCA_903994225.1","Alveolata",138297,"Plasmodium vinckei lentum",NA,NA,NA,NA,NA,NA,97.2,0.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"159","GCA_903994235.1","Alveolata",138298,"Plasmodium vinckei petteri",NA,NA,NA,NA,NA,NA,97.86,0.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"160","GCA_903994265.1","Alveolata",5860,"Plasmodium vinckei",NA,NA,NA,NA,NA,NA,96.62,1.02,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"161","GCA_905178155.1","Alveolata",2202890,"Amoebophrya sp. A120",NA,NA,NA,"M",NA,NA,95.32,0.58,"Dinophyceae",NA,"Syndiniales","Amoebophryaceae","Amoebophrya"
"162","GCA_905182975.1","Alveolata",5886,"Paramecium primaurelia","M",NA,NA,"H","H",NA,97.08,1.17,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"163","GCA_905182985.1","Alveolata",65129,"Paramecium sonneborni","M","H",NA,"H","H",NA,98.83,0.58,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"164","GCA_905182995.1","Alveolata",43137,"Paramecium octaurelia","M","H",NA,"H","H",NA,96.49,1.75,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"165","GCA_905183005.1","Alveolata",43138,"Paramecium pentaurelia","M","H",NA,"H","H",NA,98.25,1.17,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"166","GCA_905221605.1","Alveolata",878477,"Symbiodinium natans",NA,NA,NA,"H","L",NA,69.59,12.28,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"167","GCA_905221615.1","Alveolata",631055,"Symbiodinium sp. CCMP2592",NA,NA,NA,"H","L",NA,75.44,11.11,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"168","GCA_905221625.1","Alveolata",230985,"Symbiodinium sp. KB8",NA,NA,NA,"H","H","H",91.23,4.09,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"169","GCA_905221635.1","Alveolata",1519616,"Symbiodinium sp. CCMP2456",NA,NA,NA,"H",NA,"H",70.18,11.7,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"170","GCA_905231905.1","Alveolata",2952,"Symbiodinium pilosum",NA,NA,NA,NA,NA,NA,54.97,13.45,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"171","GCA_905231915.1","Alveolata",1628268,"Symbiodinium necroappetens",NA,NA,NA,NA,"L","H",63.16,15.79,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"172","GCA_905231925.1","Alveolata",2951,"Symbiodinium microadriaticum",NA,NA,NA,"H","L","H",77.19,10.53,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"173","GCA_905237085.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,69.59,16.37,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella"
"174","GCA_905237095.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,66.08,15.2,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella"
"175","GCA_914767885.1","Alveolata",1481888,"Blepharisma stoltei",NA,"H",NA,"H","M",NA,95.91,2.92,"Heterotrichea","Ciliophora","Heterotrichida","Blepharismidae","Blepharisma"
"176","GCA_914969965.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,98.41,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"177","GCA_946863485.1","Alveolata",5936,"Moneuplotes crassus",NA,NA,NA,"H","M",NA,91.81,1.17,"Spirotrichea","Ciliophora","Euplotida","Euplotidae","Moneuplotes"
"178","GCA_947184155.2","Alveolata",2562237,"Cladocopium goreaui",NA,NA,NA,"H","L",NA,82.46,7.02,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Cladocopium"
"179","GCA_949152365.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,98.38,0.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"180","GCA_963377065.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,67.25,15.2,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium"
"181","GCA_963377175.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,75.44,9.36,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium"
"182","GCA_963377275.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,76.02,12.28,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium"
"183","GCA_963575745.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,61.4,22.81,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella"
"184","GCA_963969995.1","Alveolata",1381693,"Durusdinium trenchii",NA,NA,NA,"H","L",NA,83.63,5.85,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Durusdinium"
"185","GCA_963970005.1","Alveolata",1381693,"Durusdinium trenchii",NA,NA,NA,"H","L",NA,74.85,9.36,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Durusdinium"
