"Accn","Group","Organism.Taxonomic.ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"Fugka2468","Alveolata",2697096,"Fugacium kawagutii CCMP2468",NA,NA,NA,"M","L",NA,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Fugacium","JGI"
"Bremi1","Alveolata",2499525,"Breviolum minutum",NA,NA,NA,"H","L","M","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Breviolum","JGI"
"Partet1","Alveolata",412030,"Paramecium tetraurelia d4_2","M","H",NA,"H","H",NA,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","JGI"
"GCA_000002595.3","Chlorophyta",3055,"Chlamydomonas reinhardtii","M",NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI"
"GCA_000090985.2","Chlorophyta",296587,"Micromonas commoda",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","NCBI"
"GCA_000092065.1","Chlorophyta",436017,"Ostreococcus lucimarinus CCE9901",NA,NA,"H","H","H",NA,"Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Ostreococcus","NCBI"
"GCA_000143455.1","Chlorophyta",3068,"Volvox carteri f. nagariensis",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","NCBI"
"GCA_000147415.1","Chlorophyta",554065,"Chlorella variabilis",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI"
"GCA_000151265.1","Chlorophyta",564608,"Micromonas pusilla CCMP1545",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","NCBI"
"GCA_000214015.2","Chlorophyta",70448,"Ostreococcus tauri",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Ostreococcus","NCBI"
"GCA_000258705.1","Chlorophyta",574566,"Coccomyxa subellipsoidea C-169",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI"
"GCA_000611645.1","Chlorophyta",145388,"Monoraphidium neglectum",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","NCBI"
"GCA_000690575.1","Chlorophyta",1291522,"Helicosporidium sp. ATCC 50920",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Helicosporidium","NCBI"
"GCA_000733215.1","Chlorophyta",3075,"Auxenochlorella protothecoides",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Auxenochlorella","NCBI"
"GCA_001247695.2","Chlorophyta",36881,"Cymbomonas tetramitiformis","L","H","H","H","H",NA,"Pyramimonadophyceae","Chlorophyta","Pyramimonadales","Pyramimonadaceae","Cymbomonas","NCBI"
"GCA_001584585.1","Chlorophyta",33097,"Gonium pectorale",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Gonium","NCBI"
"GCA_002220235.1","Chlorophyta",41875,"Bathycoccus prasinos",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Bathycoccus","NCBI"
"GCA_002245815.2","Chlorophyta",554055,"Micractinium conductrix",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Micractinium","NCBI"
"GCA_002245835.2","Chlorophyta",3076,"Chlorella sorokiniana",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI"
"GCA_002284615.2","Chlorophyta",3046,"Dunaliella salina",NA,NA,"M","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Dunaliellaceae","Dunaliella","NCBI"
"GCA_002335675.1","Chlorophyta",1157962,"Chlamydomonas eustigma",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI"
"GCA_002891735.1","Chlorophyta",47790,"Tetrabaena socialis",NA,NA,"H","M","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Tetrabaenaceae","Tetrabaena","NCBI"
"GCA_003203535.1","Chlorophyta",307507,"Raphidocelis subcapitata",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Raphidocelis","NCBI"
"GCA_007859695.1","Chlorophyta",1764295,"Chloropicon primus",NA,"M","H","H","H",NA,"Chloropicophyceae","Chlorophyta","Chloropicales","Chloropicaceae","Chloropicon","NCBI"
"GCA_008636185.1","Chlorophyta",2608996,"Trebouxia sp. A1-2",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI"
"GCA_011766145.1","Chlorophyta",44745,"Haematococcus lacustris",NA,NA,"M","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Haematococcaceae","Haematococcus","NCBI"
"GCA_014080715.1","Chlorophyta",2650976,"Scenedesmus sp. NREL 46B-D3",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","NCBI"
"GCA_014905635.1","Chlorophyta",2742167,"Scenedesmus sp. PABB004",NA,NA,"H","H","H","H","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","NCBI"
"GCA_015473125.1","Chlorophyta",41880,"Pycnococcus provasolii",NA,NA,"H","H","H",NA,NA,"Chlorophyta",NA,"Pycnococcaceae","Pycnococcus","NCBI"
"GCA_016618255.1","Chlorophyta",1653778,"Chlamydomonas sp. UWO 241",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI"
"GCA_016834595.1","Chlorophyta",2026947,"Chlamydomonas schloesseri",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI"
"GCA_016834605.1","Chlorophyta",51695,"Chlamydomonas incerta",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI"
"GCA_016858145.1","Chlorophyta",47281,"Edaphochlamys debaryana",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales",NA,"Edaphochlamys","NCBI"
"GCA_019044685.2","Chlorophyta",1650286,"Chlorella desiccata (nom. nud.)",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI"
"GCA_019650175.1","Chlorophyta",51714,"Volvox africanus",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","NCBI"
"GCA_019650235.1","Chlorophyta",1737510,"Volvox reticuliferus",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","NCBI"
"GCA_020887355.1","Chlorophyta",2315456,"Coccomyxa sp. Obi",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI"
"GCA_021605115.1","Chlorophyta",47775,"Astrephomene gubernaculifera",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Astrephomenaceae","Astrephomene","NCBI"
"GCA_023343905.1","Chlorophyta",3077,"Chlorella vulgaris",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI"
"GCA_025026875.1","Chlorophyta",2649997,"Chlorella ohadii",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI"
"GCA_025201885.1","Chlorophyta",39955,"Monoraphidium minutum",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","NCBI"
"GCA_025209345.1","Chlorophyta",2696299,"Picochlorum sp. BPE23",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","NCBI"
"GCA_030267485.1","Chlorophyta",330485,"Pleodorina starrii",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Pleodorina","NCBI"
"GCA_030272055.1","Chlorophyta",3088,"Tetradesmus obliquus",NA,NA,NA,"H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","NCBI"
"GCA_030272585.1","Chlorophyta",3041901,"Bryopsis sp. KO-2023",NA,NA,"H","H","H","H","Ulvophyceae","Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis","NCBI"
"GCA_031763795.1","Chlorophyta",3111,"Prototheca wickerhamii",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Prototheca","NCBI"
"GCA_034226045.1","Chlorophyta",1470871,"Picochlorum sp. SENEW3",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","NCBI"
"GCA_038396805.1","Chlorophyta",1461544,"Chloropicon roscoffensis",NA,"M","H","H","H",NA,"Chloropicophyceae","Chlorophyta","Chloropicales","Chloropicaceae","Chloropicon","NCBI"
"GCA_040144335.1","Chlorophyta",381761,"Elliptochloris bilobata",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Elliptochloris","NCBI"
"GCA_040144355.1","Chlorophyta",904363,"Apatococcus lobatus",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Apatococcus","NCBI"
"GCA_040144375.1","Chlorophyta",2026836,"Apatococcus fuscideae",NA,NA,"H","H","L",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Apatococcus","NCBI"
"GCA_040144395.1","Chlorophyta",41462,"[Myrmecia] bisecta",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Myrmecia","NCBI"
"GCA_040144405.1","Chlorophyta",706552,"Symbiochloris irregularis",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Symbiochloris","NCBI"
"GCA_040182555.1","Chlorophyta",248742,"Coccomyxa subellipsoidea",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI"
"GCA_040206735.1","Chlorophyta",2905653,"Trebouxia sp. C0004",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI"
"GCA_040206745.1","Chlorophyta",2905655,"Trebouxia sp. C0006",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI"
"GCA_040206755.1","Chlorophyta",2905654,"Trebouxia sp. C0005",NA,NA,"H","H","M",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI"
"GCA_040746505.1","Chlorophyta",2578422,"Sanguina aurantia",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Sanguina","NCBI"
"GCA_045269255.1","Chlorophyta",3373144,"Trebouxia sp. C0009 RCD-2024",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI"
"GCA_045269315.1","Chlorophyta",3373145,"Trebouxia sp. C0010 RCD-2024",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI"
"GCA_905146915.1","Chlorophyta",121088,"Ostreobium quekettii",NA,NA,"H","H","H",NA,"Ulvophyceae","Chlorophyta","Bryopsidales","Ostreobiaceae","Ostreobium","NCBI"
"GCA_916048055.1","Chlorophyta",765719,"Pedinophyceae sp. YPF-701",NA,NA,"H","H","H",NA,"Pedinophyceae","Chlorophyta",NA,NA,NA,"NCBI"
"GCA_963575595.1","Chlorophyta",1274662,"Coccomyxa viridis",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI"
"GCA_964261555.1","Chlorophyta",1965095,"Coccomyxa elongata",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI"
"DesarSE107","Chlorophyta",375941,"Desmodesmus armatus isolate SE107 v1.0",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Desmodesmus","JGI"
"Limspi1","Chlorophyta",2954232,"Limnomonas spitsbergensis CCryo_02-99_CH",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales",NA,"Limnomonas","JGI"
"Chrzof2","Chlorophyta",31302,"Chromochloris zofingiensis var. SAG 211-14 v6.0",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Chromochloridaceae","Chromochloris","JGI"
"ScespWC1","Chlorophyta",3087,"Scenedesmus sp. WC-1 v1.0",NA,NA,"H","H","H","L","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","JGI"
"Chloso1230","Chlorophyta",3071,"Chlorella sorokiniana UTEX 1230",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"Trebou978","Chlorophyta",75966,"Trebouxiophyceae sp. bin 3300059473_978 v1.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,NA,"JGI"
"Trebou4402","Chlorophyta",2941158,"Chlorellaceae sp. bin 3300059473_4402 v1.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae",NA,"JGI"
"Chlremi1","Chlorophyta",2069334,"Chloromonas remiasii CCCryo 005-99 v1.0",NA,NA,"H","H","H","H","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chloromonas","JGI"
"Botrbrau1","Chlorophyta",1202541,"Botryococcus braunii Showa",NA,NA,"H","H","M",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Botryococcus","JGI"
"Pedmin1","Chlorophyta",3159,"Pedinomonas minor SAG 1965-3",NA,NA,"H","H","H",NA,"Pedinophyceae","Chlorophyta","Pedinomonadales","Pedinomonadaceae","Pedinomonas","JGI"
"MicrYARC1","Chlorophyta",2904290,"Microglena sp. YARC",NA,NA,"H","H","H","M","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Microglena","JGI"
"MicrAD1","Chlorophyta",38832,"Micromonas sp. AD1 metagenome extracted assembly",NA,NA,"H","H","M",NA,"Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","JGI"
"TetrdesSNI2","Chlorophyta",2780016,"Tetradesmus deserticola SNI-2 v1.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
"Flerot1","Chlorophyta",269715,"Flechtneria rotunda SEV3VF49 v1.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Flechtneria","JGI"
"Enacos1","Chlorophyta",113528,"Enallax costatus CCAP 276/31 v1.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Enallax","JGI"
"Pico","Chlorophyta",2320818,"Picocystis sp. ML",NA,NA,NA,"M",NA,NA,"Picocystophyceae","Chlorophyta","Picocystales","Picocystaceae","Picocystis","JGI"
"Picre1","Chlorophyta",2601844,"Picochlorum renovo",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","JGI"
"Picsp","Chlorophyta",2053932,"Picochlorum soloecismus DOE101",NA,NA,"H","H","H","H","Trebouxiophyceae","Chlorophyta",NA,NA,"Picochlorum","JGI"
"ChloA99","Chlorophyta",2041167,"Chlorella  sp. A99",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"Tetstr1","Chlorophyta",3165,"Tetraselmis striata",NA,NA,"H","H","H",NA,"Chlorodendrophyceae","Chlorophyta","Chlorodendrales","Chlorodendraceae","Tetraselmis","JGI"
"Caulen1","Chlorophyta",148947,"Caulerpa lentillifera",NA,NA,"H","H","H",NA,"Ulvophyceae","Chlorophyta","Bryopsidales","Caulerpaceae","Caulerpa","JGI"
"Volca2","Chlorophyta",3067,"Volvox carteri v2.1",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","JGI"
"SymretSc1","Chlorophyta",40981,"Symbiochloris reticulata Scotland extracted metagenome v1.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Symbiochloris","JGI"
"Astpho2","Chlorophyta",763042,"Asterochloris glomerata Cgr/DA1pho v2.0",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Asterochloris","JGI"
"Batpra1","Chlorophyta",1075084,"Bathycoccus prasinos RCC1105",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Bathycoccus","JGI"
"Ulvmu1","Chlorophyta",498180,"Ulva mutabilis Foyn",NA,NA,"H","H","H",NA,"Ulvophyceae","Chlorophyta","Ulvales","Ulvaceae","Ulva","JGI"
"GCA_000002435.2","Metamonada",5741,"Giardia intestinalis",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"GCA_000002825.3","Metamonada",412133,"Trichomonas vaginalis G3",NA,"M","H","H","M",NA,NA,"Parabasalia","Trichomonadida","Trichomonadidae","Trichomonas","NCBI"
"GCA_000182405.1","Metamonada",598745,"Giardia intestinalis ATCC 50581",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"GCA_000182665.1","Metamonada",658858,"Giardia lamblia P15",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"GCA_000497125.2","Metamonada",348837,"Spironucleus salmonicida",NA,NA,"M","H",NA,NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Spironucleus","NCBI"
"GCA_001543975.1","Metamonada",1394984,"Giardia intestinalis assemblage B",NA,"H","H","H","M",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"GCA_001643675.2","Metamonada",2049356,"Monocercomonoides exilis",NA,NA,"H","H","L",NA,NA,"Preaxostyla","Oxymonadida","Polymastigidae","Monocercomonoides","NCBI"
"GCA_001839685.2","Metamonada",1144522,"Tritrichomonas foetus",NA,"M","H","H","M",NA,NA,"Parabasalia","Tritrichomonadida","Tritrichomonadidae","Tritrichomonas","NCBI"
"GCA_003568945.1","Metamonada",797122,"Kipferlia bialata",NA,"L","M","H","L",NA,NA,"Fornicata",NA,NA,"Kipferlia","NCBI"
"GCA_006247105.1","Metamonada",5742,"Giardia muris",NA,"H","M","H","L",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Giardia","NCBI"
"GCA_008636045.1","Metamonada",222440,"Streblomastix strix",NA,NA,"H","H","L",NA,NA,"Preaxostyla","Oxymonadida","Streblomastigidae","Streblomastix","NCBI"
"GCA_019828565.1","Metamonada",201153,"Carpediemonas membranifera",NA,"H","H","H","M",NA,NA,"Fornicata",NA,NA,"Carpediemonas","NCBI"
"GCA_020184695.1","Metamonada",135588,"Histomonas meleagridis",NA,"M","M","H","M",NA,NA,"Parabasalia","Tritrichomonadida","Dientamoebidae","Histomonas","NCBI"
"GCA_024181965.1","Metamonada",2918883,"Aduncisulcus paluster",NA,NA,"M","H","L",NA,NA,"Fornicata",NA,NA,"Aduncisulcus","NCBI"
"GCA_027625915.1","Metamonada",1746091,"Anaeramoeba flamelloides","L","H","H","H","H",NA,NA,NA,NA,"Anaeramoebidae","Anaeramoeba","NCBI"
"GCA_027972325.1","Metamonada",342808,"Paratrimastix pyriformis",NA,NA,"H","H","H",NA,NA,"Preaxostyla",NA,"Paratrimastigidae","Paratrimastix","NCBI"
"GCA_028826165.1","Metamonada",1746090,"Anaeramoeba ignava","L","H","H","H","H",NA,NA,NA,NA,"Anaeramoebidae","Anaeramoeba","NCBI"
"GCA_033064195.1","Metamonada",2049346,"Blattamonas nauphoetae",NA,"L","H","H","L",NA,NA,"Preaxostyla","Oxymonadida",NA,"Blattamonas","NCBI"
"GCA_039105265.1","Metamonada",1915356,"Tritrichomonas musculus",NA,"M","H","H","M",NA,NA,"Parabasalia","Tritrichomonadida","Tritrichomonadidae","Tritrichomonas","NCBI"
"GCA_040285745.1","Metamonada",2654837,"Barthelona sp. PCE",NA,"M","H","H","M",NA,NA,NA,NA,NA,"Barthelona","NCBI"
"GCA_963988835.2","Metamonada",28002,"Hexamita inflata",NA,NA,"M","H","L",NA,NA,"Fornicata","Diplomonadida","Hexamitidae","Hexamita","NCBI"
"GCA_000002445.1","Discoba",185431,"Trypanosoma brucei brucei TREU927",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000002725.2","Discoba",347515,"Leishmania major strain Friedlin",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"GCA_000002845.2","Discoba",420245,"Leishmania braziliensis MHOM/BR/75/M2904",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"GCA_000002875.2","Discoba",435258,"Leishmania infantum JPCM5",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"GCA_000004985.1","Discoba",5762,"Naegleria gruberi",NA,"M","H","H","H",NA,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria","NCBI"
"GCA_000188675.2","Discoba",5693,"Trypanosoma cruzi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000210295.1","Discoba",679716,"Trypanosoma brucei gambiense DAL972",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000227135.2","Discoba",5661,"Leishmania donovani",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"GCA_000227375.1","Discoba",1055687,"Trypanosoma vivax Y486",NA,NA,NA,NA,NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000227395.2","Discoba",1068625,"Trypanosoma congolense IL3000",NA,NA,NA,NA,NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000234665.4","Discoba",929439,"Leishmania mexicana MHOM/GT/2001/U1103",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"GCA_000300495.1","Discoba",85056,"Trypanosoma cruzi marinkellei",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000442495.1","Discoba",28005,"Strigomonas culicis",NA,NA,"H","H",NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Strigomonas","NCBI"
"GCA_000442575.2","Discoba",59799,"Angomonas deanei",NA,"M","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Angomonas","NCBI"
"GCA_000492115.1","Discoba",429131,"Trypanosoma rangeli SC58",NA,"H","H","H",NA,NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000496795.1","Discoba",1416333,"Trypanosoma cruzi Dm28c",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000582765.1","Discoba",479712,"Phytomonas sp. EM1",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Phytomonas","NCBI"
"GCA_000691245.1","Discoba",71804,"Trypanosoma grayi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_000755165.1","Discoba",5679,"Leishmania panamensis",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leishmania","NCBI"
"GCA_000982615.1","Discoba",223615,"Phytomonas sp. Hart1",NA,"L","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Phytomonas","NCBI"
"GCA_001235845.1","Discoba",1314962,"Perkinsela sp. CCAP 1560/4",NA,NA,NA,"H",NA,NA,"Kinetoplastea","Euglenozoa",NA,"Ichthyobodonidae","Perkinsela","NCBI"
"GCA_001293395.1","Discoba",157538,"Leptomonas pyrrhocoris",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leptomonas","NCBI"
"GCA_001299535.1","Discoba",5684,"Leptomonas seymouri",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Leptomonas","NCBI"
"GCA_001457755.2","Discoba",5694,"Trypanosoma equiperdum",NA,"H","H","H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_001460835.1","Discoba",75058,"Bodo saltans",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Eubodonida","Bodonidae","Bodo","NCBI"
"GCA_002087225.1","Discoba",67003,"Trypanosoma theileri",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_002219105.2","Discoba",85057,"Trypanosoma cruzi cruzi",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_003324165.2","Discoba",51637,"Naegleria lovaniensis",NA,"H","H","H","H",NA,NA,"Heterolobosea",NA,"Vahlkampfiidae","Naegleria","NCBI"
"GCA_003543875.1","Discoba",630700,"Trypanosoma brucei equiperdum",NA,"H",NA,"H","H",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_003719475.1","Discoba",5698,"Trypanosoma rangeli",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
"GCA_003719485.1","Discoba",83891,"Trypanosoma conorhini",NA,"H","H","H","M",NA,"Kinetoplastea","Euglenozoa","Trypanosomatida","Trypanosomatidae","Trypanosoma","NCBI"
