"","X.1","X","Accn","Super.Group","Organism_Taxonomic_ID","Organism_Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class.name","Phylum.name","Order.name","Family.name","Genus.name"
"263",263,263,"GCA_002600585.1","Alveolata",483139,"Cystoisospora suis",NA,NA,NA,"H","L",NA,83.47,11.16,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Cystoisospora"
"264",264,264,"GCA_002831795.1","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,94.26,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"265",265,265,"GCA_002897235.1","Alveolata",189622,"Babesia ovata",NA,NA,NA,"H",NA,NA,83.7,5.9,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"266",266,266,"GCA_003072535.4","Alveolata",68886,"Theileria orientalis",NA,NA,NA,"M",NA,NA,95.59,1.5,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"267",267,267,"GCA_003072545.4","Alveolata",68886,"Theileria orientalis",NA,NA,NA,"M",NA,NA,95.15,1.41,"Aconoidasida","Apicomplexa","Piroplasmida","Theileriidae","Theileria"
"268",268,268,"GCA_004369235.1","Alveolata",2494336,"Perkinsus sp. BL_2016",NA,NA,NA,NA,NA,NA,9.94,2.92,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"269",269,269,"GCA_004936735.2","Alveolata",1280935,"Cryptosporidium sp. chipmunk genotype I",NA,NA,NA,"H",NA,NA,97.61,1,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"270",270,270,"GCA_007210665.1","Alveolata",756076,"Cryptosporidium tyzzeri",NA,NA,NA,"H",NA,NA,98.01,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"271",271,271,"GCA_009768925.2","Alveolata",310047,"Cryptosporidium bovis",NA,NA,NA,"H",NA,NA,95.62,0.6,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"272",272,272,"GCA_009792415.2","Alveolata",515981,"Cryptosporidium ryanae",NA,NA,NA,"H",NA,NA,94.62,1,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"273",273,273,"GCA_012898025.1","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,95.11,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"274",274,274,"GCA_013099955.1","Alveolata",5811,"Toxoplasma gondii",NA,NA,NA,"H","L",NA,100,0,"Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma"
"275",275,275,"GCA_013115115.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,89.47,2.34,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"276",276,276,"GCA_013115125.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,81.29,2.34,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"277",277,277,"GCA_013115135.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,88.89,4.68,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"278",278,278,"GCA_013115145.1","Alveolata",330153,"Perkinsus chesapeaki",NA,"L","M","H","M",NA,91.23,3.51,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"279",279,279,"GCA_013115865.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,65.5,21.64,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"280",280,280,"GCA_013115895.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,63.74,23.98,NA,"Perkinsozoa","Perkinsida","Perkinsidae","Perkinsus"
"281",281,281,"GCA_014529505.1","Alveolata",83540,"Cryptosporidium felis",NA,NA,NA,"H",NA,NA,91.04,2.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"282",282,282,"GCA_015245375.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,98.21,0.4,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"283",283,283,"GCA_015476325.1","Alveolata",476202,"Cardiosporidium cionae",NA,NA,NA,"M","M",NA,59.21,3.7,"Aconoidasida","Apicomplexa","Nephromycida",NA,"Cardiosporidium"
"284",284,284,"GCA_019968955.1","Alveolata",2853593,"Porospora cf. gigantea A",NA,NA,NA,"M",NA,NA,71.71,1.79,"Conoidasida","Apicomplexa","Eugregarinorida","Porosporidae","Porospora"
"285",285,285,"GCA_020844765.3","Alveolata",73239,"Plasmodium yoelii yoelii",NA,NA,NA,NA,NA,NA,89.95,2.86,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"286",286,286,"GCA_023705535.2","Alveolata",5869,"Babesia ovis",NA,NA,NA,"H",NA,NA,90.04,2.38,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"287",287,287,"GCA_023973825.1","Alveolata",5824,"Plasmodium brasilianum",NA,NA,NA,NA,NA,NA,89.07,1.78,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"288",288,288,"GCA_024862765.1","Alveolata",5871,"Babesia caballi",NA,NA,NA,NA,NA,NA,79.03,5.9,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"289",289,289,"GCA_027243965.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,93.03,2.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"290",290,290,"GCA_027243975.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,92.63,2.19,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"291",291,291,"GCA_027243985.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,94.22,1.99,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"292",292,292,"GCA_028658345.1","Alveolata",323732,"Babesia duncani",NA,NA,NA,"H",NA,NA,76.21,5.29,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"293",293,293,"GCA_030849525.1","Alveolata",33632,"Babesia gibsoni",NA,NA,NA,"H",NA,NA,94.19,1.15,"Aconoidasida","Apicomplexa","Piroplasmida","Babesiidae","Babesia"
"294",294,294,"GCA_031892065.1","Alveolata",2138604,"Cryptosporidium sp. 43IA8",NA,NA,NA,"H",NA,NA,98.21,0.8,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"295",295,295,"GCA_035232765.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,98.61,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"296",296,296,"GCA_037039495.1","Alveolata",659607,"Cryptosporidium xiaoi",NA,NA,NA,"H",NA,NA,96.22,0.2,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"297",297,297,"GCA_039657295.1","Alveolata",93969,"Cryptosporidium meleagridis",NA,NA,NA,"H",NA,NA,97.81,1,"Conoidasida","Apicomplexa","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium"
"298",298,298,"GCA_900002335.2","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,99.2,0,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"299",299,299,"GCA_900002375.2","Alveolata",5823,"Plasmodium berghei ANKA",NA,NA,NA,NA,NA,NA,99.07,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"300",300,300,"GCA_900002385.2","Alveolata",5861,"Plasmodium yoelii",NA,NA,NA,NA,NA,NA,98.98,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"301",301,301,"GCA_900002395.1","Alveolata",5861,"Plasmodium yoelii",NA,NA,NA,NA,NA,NA,98.76,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"302",302,302,"GCA_900004885.2","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,97.83,0.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"303",303,303,"GCA_900005025.2","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,97.47,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"304",304,304,"GCA_900005765.1","Alveolata",85471,"Plasmodium relictum",NA,NA,NA,NA,NA,NA,98.82,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"305",305,305,"GCA_900005855.1","Alveolata",5849,"Plasmodium gallinaceum",NA,NA,NA,NA,NA,NA,98.46,0.38,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"306",306,306,"GCA_900044335.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,98.3,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"307",307,307,"GCA_900088445.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.4,0.22,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"308",308,308,"GCA_900088485.1","Alveolata",864142,"Plasmodium ovale wallikeri",NA,NA,NA,NA,NA,NA,80.89,5.35,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"309",309,309,"GCA_900088545.1","Alveolata",864142,"Plasmodium ovale wallikeri",NA,NA,NA,NA,NA,NA,80.97,5.27,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"310",310,310,"GCA_900088555.1","Alveolata",864141,"Plasmodium ovale curtisi",NA,NA,NA,NA,NA,NA,84.02,3.98,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"311",311,311,"GCA_900088565.1","Alveolata",864141,"Plasmodium ovale curtisi",NA,NA,NA,NA,NA,NA,85.15,3.49,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"312",312,312,"GCA_900088575.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,77.68,6.59,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"313",313,313,"GCA_900090005.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,77.9,2.91,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"314",314,314,"GCA_900090025.2","Alveolata",36330,"Plasmodium ovale",NA,NA,NA,NA,NA,NA,88.3,1.46,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"315",315,315,"GCA_900090035.2","Alveolata",36330,"Plasmodium ovale",NA,NA,NA,NA,NA,NA,98.46,0.3,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"316",316,316,"GCA_900090045.1","Alveolata",5858,"Plasmodium malariae",NA,NA,NA,NA,NA,NA,98.98,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"317",317,317,"GCA_900093535.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,96.32,0.27,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"318",318,318,"GCA_900093545.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,96.92,0.19,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"319",319,319,"GCA_900093555.2","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,99.18,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"320",320,320,"GCA_900095545.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.57,0.19,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"321",321,321,"GCA_900095555.1","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,93.99,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"322",322,322,"GCA_900095565.1","Alveolata",5826,"Plasmodium chabaudi adami",NA,NA,NA,NA,NA,NA,98.11,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"323",323,323,"GCA_900095585.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.98,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"324",324,324,"GCA_900095595.1","Alveolata",880534,"Plasmodium sp. gorilla clade G1",NA,NA,NA,NA,NA,NA,98.63,0.14,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"325",325,325,"GCA_900095605.1","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,98.38,0.11,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"326",326,326,"GCA_900095625.1","Alveolata",5826,"Plasmodium chabaudi adami",NA,NA,NA,NA,NA,NA,97.94,0.16,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"327",327,327,"GCA_900095635.1","Alveolata",5821,"Plasmodium berghei",NA,NA,NA,NA,NA,NA,96.07,0.44,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"328",328,328,"GCA_900097015.1","Alveolata",880535,"Plasmodium sp. gorilla clade G2",NA,NA,NA,NA,NA,NA,98.98,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"329",329,329,"GCA_900097025.1","Alveolata",5854,"Plasmodium reichenowi",NA,NA,NA,NA,NA,NA,99.01,0.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"330",330,330,"GCA_900097035.1","Alveolata",880536,"Plasmodium sp. gorilla clade G3",NA,NA,NA,NA,NA,NA,97.2,0.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"331",331,331,"GCA_900097045.1","Alveolata",647221,"Plasmodium gaboni",NA,NA,NA,NA,NA,NA,98.82,0.14,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"332",332,332,"GCA_900240055.1","Alveolata",720590,"Plasmodium sp. DRC-Itaito",NA,NA,NA,NA,NA,NA,98.79,0.05,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"333",333,333,"GCA_900257145.2","Alveolata",720590,"Plasmodium sp. DRC-Itaito",NA,NA,NA,NA,NA,NA,93.66,0.74,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"334",334,334,"GCA_900681995.1","Alveolata",54757,"Plasmodium vinckei vinckei",NA,NA,NA,NA,NA,NA,98.08,0.47,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"335",335,335,"GCA_902459845.2","Alveolata",2600580,"Hepatocystis sp. ex Piliocolobus tephrosceles",NA,NA,NA,NA,NA,NA,90.22,3.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Hepatocystis"
"336",336,336,"GCA_903994205.1","Alveolata",119398,"Plasmodium vinckei brucechwatti",NA,NA,NA,NA,NA,NA,97.25,0.88,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"337",337,337,"GCA_903994225.1","Alveolata",138297,"Plasmodium vinckei lentum",NA,NA,NA,NA,NA,NA,97.2,0.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"338",338,338,"GCA_903994235.1","Alveolata",138298,"Plasmodium vinckei petteri",NA,NA,NA,NA,NA,NA,97.86,0.6,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"339",339,339,"GCA_903994265.1","Alveolata",5860,"Plasmodium vinckei",NA,NA,NA,NA,NA,NA,96.62,1.02,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"340",340,340,"GCA_905178155.1","Alveolata",2202890,"Amoebophrya sp. A120",NA,NA,NA,"M",NA,NA,95.32,0.58,"Dinophyceae",NA,"Syndiniales","Amoebophryaceae","Amoebophrya"
"341",341,341,"GCA_905182975.1","Alveolata",5886,"Paramecium primaurelia","M",NA,NA,"H","H",NA,97.08,1.17,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"342",342,342,"GCA_905182985.1","Alveolata",65129,"Paramecium sonneborni","M","H",NA,"H","H",NA,98.83,0.58,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"343",343,343,"GCA_905182995.1","Alveolata",43137,"Paramecium octaurelia","M","H",NA,"H","H",NA,96.49,1.75,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"344",344,344,"GCA_905183005.1","Alveolata",43138,"Paramecium pentaurelia","M","H",NA,"H","H",NA,98.25,1.17,"Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium"
"345",345,345,"GCA_905221605.1","Alveolata",878477,"Symbiodinium natans",NA,NA,NA,"H","L",NA,69.59,12.28,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"346",346,346,"GCA_905221615.1","Alveolata",631055,"Symbiodinium sp. CCMP2592",NA,NA,NA,"H","L",NA,75.44,11.11,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"347",347,347,"GCA_905221625.1","Alveolata",230985,"Symbiodinium sp. KB8",NA,NA,NA,"H","H","H",91.23,4.09,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"348",348,348,"GCA_905221635.1","Alveolata",1519616,"Symbiodinium sp. CCMP2456",NA,NA,NA,"H",NA,"H",70.18,11.7,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"349",349,349,"GCA_905231905.1","Alveolata",2952,"Symbiodinium pilosum",NA,NA,NA,NA,NA,NA,54.97,13.45,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"350",350,350,"GCA_905231915.1","Alveolata",1628268,"Symbiodinium necroappetens",NA,NA,NA,NA,"L","H",63.16,15.79,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"351",351,351,"GCA_905231925.1","Alveolata",2951,"Symbiodinium microadriaticum",NA,NA,NA,"H","L","H",77.19,10.53,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium"
"352",352,352,"GCA_905237085.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,69.59,16.37,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella"
"353",353,353,"GCA_905237095.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,66.08,15.2,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella"
"354",354,354,"GCA_914767885.1","Alveolata",1481888,"Blepharisma stoltei",NA,"H",NA,"H","M",NA,95.91,2.92,"Heterotrichea","Ciliophora","Heterotrichida","Blepharismidae","Blepharisma"
"355",355,355,"GCA_914969965.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,98.41,0.03,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"356",356,356,"GCA_946863485.1","Alveolata",5936,"Moneuplotes crassus",NA,NA,NA,"H","M",NA,91.81,1.17,"Spirotrichea","Ciliophora","Euplotida","Euplotidae","Moneuplotes"
"357",357,357,"GCA_947184155.2","Alveolata",2562237,"Cladocopium goreaui",NA,NA,NA,"H","L",NA,82.46,7.02,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Cladocopium"
"358",358,358,"GCA_949152365.1","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,98.38,0.08,"Aconoidasida","Apicomplexa","Haemosporida","Plasmodiidae","Plasmodium"
"359",359,359,"GCA_963377065.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,67.25,15.2,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium"
"360",360,360,"GCA_963377175.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,75.44,9.36,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium"
"361",361,361,"GCA_963377275.1","Alveolata",2562239,"Effrenium voratum",NA,NA,NA,"H",NA,NA,76.02,12.28,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Effrenium"
"362",362,362,"GCA_963575745.1","Alveolata",89957,"Polarella glacialis",NA,"L","H","H","M",NA,61.4,22.81,"Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella"
"363",363,363,"GCA_963969995.1","Alveolata",1381693,"Durusdinium trenchii",NA,NA,NA,"H","L",NA,83.63,5.85,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Durusdinium"
"364",364,364,"GCA_963970005.1","Alveolata",1381693,"Durusdinium trenchii",NA,NA,NA,"H","L",NA,74.85,9.36,"Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Durusdinium"
"365",365,365,"GCA_000512085.1","Rhizaria",46433,"Reticulomyxa filosa",NA,"M","L","M","L",NA,36.86,27.84,NA,"Foraminifera",NA,"Reticulomyxidae","Reticulomyxa"
"366",366,366,"GCA_000698435.2","Rhizaria",641309,"Lotharella oceanica",NA,NA,NA,NA,NA,"H",1.96,1.18,"Chlorarachniophyceae","Cercozoa",NA,NA,"Lotharella"
"367",367,367,"GCA_001049375.1","Rhizaria",37360,"Plasmodiophora brassicae",NA,"H","H","M","L",NA,88.63,3.92,"Phytomyxea","Endomyxa","Plasmodiophorida","Plasmodiophoridae","Plasmodiophora"
"368",368,368,"GCA_009731375.1","Rhizaria",1928728,"Paulinella micropora",NA,NA,NA,NA,NA,"H",1.96,0.78,"Imbricatea","Cercozoa","Euglyphida","Paulinellidae","Paulinella"
"369",369,369,"GCA_039583845.1","Rhizaria",2184066,"Marteilia pararefringens",NA,NA,NA,"L",NA,NA,21.18,12.94,"Ascetosporea","Endomyxa","Paramyxida","Marteiliidae","Marteilia"
"370",370,370,"GCA_040357525.1","Rhizaria",126728,"Bonamia ostreae",NA,"L",NA,"L","L",NA,25.88,18.82,"Ascetosporea","Endomyxa","Haplosporida",NA,"Bonamia"
"371",371,371,"GCA_040357535.1","Rhizaria",2844372,"Paramarteilia canceri",NA,NA,"L","L",NA,NA,9.41,15.29,"Ascetosporea","Endomyxa","Paramyxida","Marteiliidae","Paramarteilia"
"372",372,372,"GCA_040357565.1","Rhizaria",1215613,"Cercozoa sp. M6MM",NA,NA,NA,"L","L",NA,55.29,14.51,NA,"Cercozoa",NA,NA,NA
"373",373,373,"GCA_000001735.2","Streptophyta",3702,"Arabidopsis thaliana",NA,NA,"H","H","H","H",99.6,0.1,"Magnoliopsida","Streptophyta","Brassicales","Brassicaceae","Arabidopsis"
"374",374,374,"GCA_000002775.4","Streptophyta",3694,"Populus trichocarpa",NA,NA,"H","H","H","H",99.3,0.2,"Magnoliopsida","Streptophyta","Malpighiales","Salicaceae","Populus"
"375",375,375,"GCA_000003195.3","Streptophyta",4558,"Sorghum bicolor",NA,NA,"H","H","H",NA,98.3,0.9,"Magnoliopsida","Streptophyta","Poales","Poaceae","Sorghum"
"376",376,376,"GCA_000003745.2","Streptophyta",29760,"Vitis vinifera",NA,NA,"H","H","H","H",90.8,4.8,"Magnoliopsida","Streptophyta","Vitales","Vitaceae","Vitis"
"377",377,377,"GCA_000004075.3","Streptophyta",3659,"Cucumis sativus",NA,NA,"H","H","L","M",95.3,2.6,"Magnoliopsida","Streptophyta","Cucurbitales","Cucurbitaceae","Cucumis"
"378",378,378,"GCA_000004255.1","Streptophyta",81972,"Arabidopsis lyrata subsp. lyrata",NA,NA,"H","H","H","H",96.3,1.3,"Magnoliopsida","Streptophyta","Brassicales","Brassicaceae","Arabidopsis"
"379",379,379,"GCA_000004515.5","Streptophyta",3847,"Glycine max",NA,NA,"H","H","H","H",99.4,0.4,"Magnoliopsida","Streptophyta","Fabales","Fabaceae","Glycine"
"380",380,380,"GCA_000004655.2","Streptophyta",39946,"Oryza sativa Indica Group",NA,NA,"H","H","H",NA,91.4,4.5,"Magnoliopsida","Streptophyta","Poales","Poaceae","Oryza"
"381",381,381,"GCA_000005005.6","Streptophyta",4577,"Zea mays",NA,NA,"H","H","H","H",94.8,3.3,"Magnoliopsida","Streptophyta","Poales","Poaceae","Zea"
"382",382,382,"GCA_000005425.2","Streptophyta",39947,"Oryza sativa Japonica Group",NA,NA,"H","H","H","H",73,9.9,"Magnoliopsida","Streptophyta","Poales","Poaceae","Oryza"
"383",383,383,"GCA_000005505.4","Streptophyta",15368,"Brachypodium distachyon",NA,NA,"H","H","H","H",99.3,0.4,"Magnoliopsida","Streptophyta","Poales","Poaceae","Brachypodium"
"384",384,384,"GCA_000143415.2","Streptophyta",88036,"Selaginella moellendorffii",NA,NA,"H","H","H","H",76.9,5.9,"Lycopodiopsida","Streptophyta","Selaginellales","Selaginellaceae","Selaginella"
"385",385,385,"GCA_000149285.1","Streptophyta",39947,"Oryza sativa Japonica Group",NA,NA,"H","H","H","H",90.9,4.2,"Magnoliopsida","Streptophyta","Poales","Poaceae","Oryza"
"386",386,386,"GCA_000151685.2","Streptophyta",3988,"Ricinus communis",NA,NA,"H","H","H","H",92,4.6,"Magnoliopsida","Streptophyta","Malpighiales","Euphorbiaceae","Ricinus"
"387",387,387,"GCA_000211275.1","Streptophyta",3702,"Arabidopsis thaliana",NA,NA,"H","H","H","H",68,5.5,"Magnoliopsida","Streptophyta","Brassicales","Brassicaceae","Arabidopsis"
"388",388,388,"GCA_000219495.2","Streptophyta",3880,"Medicago truncatula",NA,NA,"H","H","H","H",96.8,0.8,"Magnoliopsida","Streptophyta","Fabales","Fabaceae","Medicago"
"389",389,389,"GCA_000263155.2","Streptophyta",4555,"Setaria italica",NA,NA,"H","H","H","H",97.9,1.1,"Magnoliopsida","Streptophyta","Poales","Poaceae","Setaria"
"390",390,390,"GCA_000327365.2","Streptophyta",29730,"Gossypium raimondii",NA,NA,"H","H","H","M",98.4,1.1,"Magnoliopsida","Streptophyta","Malvales","Malvaceae","Gossypium"
"391",391,391,"GCA_000331365.3","Streptophyta",4639,"Ensete ventricosum",NA,NA,"H","H","H","H",21.6,22,"Magnoliopsida","Streptophyta","Zingiberales","Musaceae","Ensete"
"392",392,392,"GCA_000340665.2","Streptophyta",3821,"Cajanus cajan",NA,NA,"L","H","H","H",89.9,5.5,"Magnoliopsida","Streptophyta","Fabales","Fabaceae","Cajanus"
"393",393,393,"GCA_000346465.2","Streptophyta",3760,"Prunus persica",NA,NA,"H","H","H",NA,99.3,0.2,"Magnoliopsida","Streptophyta","Rosales","Rosaceae","Prunus"
"394",394,394,"GCA_000347455.1","Streptophyta",4572,"Triticum urartu",NA,NA,NA,"H","H","H",55.5,14.7,"Magnoliopsida","Streptophyta","Poales","Poaceae","Triticum"
