"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score"
"233","GCA_902602495.3","Stramenopile",867726,"Ectocarpus sp. CCAP 1310/34",NA,"H","H","H","L",NA,83,4
"234","GCA_903772945.1","Stramenopile",568900,"Seminavis robusta",NA,NA,"H","H","H","H",99,0
"235","GCA_918797485.1","Stramenopile",35677,"Pelagomonas calceolata",NA,NA,"H","H","H",NA,89,1
"236","GCA_920618645.1","Stramenopile",622444,"Peronospora belbahrii","M","H","H","H","H",NA,98,0
"237","GCA_921007115.2","Stramenopile",2874970,"Peronospora matthiolae","M","H","H","H","H",NA,98,1
"238","GCA_933822405.4","Stramenopile",2856,"Cylindrotheca closterium",NA,NA,"H","H","H",NA,97,1
"239","GCA_947646735.1","Stramenopile",134698,"Peronospora farinosa","M","H","H","H","H",NA,98,0
"240","GCA_947650285.1","Stramenopile",162125,"Hyaloperonospora brassicae","M","H","H","H","H",NA,99,0
"241","GCA_947650345.1","Stramenopile",86335,"Peronospora destructor","M","H","H","H","H",NA,96,3
"242","GCA_964200265.1","Stramenopile",1535356,"Ectocarpus sp. 12 AP-2014",NA,NA,NA,NA,NA,"H",2,0
"243","GCA_964200375.1","Stramenopile",1535362,"Ectocarpus sp. 6 AP-2014",NA,NA,NA,NA,NA,"H",2,0
